	title	artist	album	likeStatus	videoId	albumId	artistId
97	Can't Get It out of My Head	Electric Light Orchestra	Eldorado	LIKE	1cXw0Wx1unI	MPREb_qtYdGlJy2a4	UCZQkZuaiV1DiJ4CG50oInTQ
98	Laredo Tornado	Electric Light Orchestra	Eldorado	LIKE	D63A33tACN0	MPREb_qtYdGlJy2a4	UCZQkZuaiV1DiJ4CG50oInTQ
99	Poorboy (The Greenwood)	Electric Light Orchestra	Eldorado	LIKE	vB1R3peoTkw	MPREb_qtYdGlJy2a4	UCZQkZuaiV1DiJ4CG50oInTQ
90	Doolin-Dalton	Eagles	Desperado	LIKE	CQhzrpZztl4	MPREb_ozmAKC1Ckbp	UC49r4GNHHpc-eQ9hmD2Rg6A
91	Bitter Creek	Eagles	Desperado	LIKE	4R68eQ6rqV0	MPREb_ozmAKC1Ckbp	UC49r4GNHHpc-eQ9hmD2Rg6A
92	Take It Easy	Eagles	Eagles	LIKE	32Oc2d_3yEk	MPREb_GRG9HQrp1NA	UC49r4GNHHpc-eQ9hmD2Rg6A
93	Train Leaves Here This Morning	Eagles	Eagles	LIKE	q3aS7370jLc	MPREb_GRG9HQrp1NA	UC49r4GNHHpc-eQ9hmD2Rg6A
94	Peaceful Easy Feeling	Eagles	Eagles	LIKE	n-0lRkuNyj0	MPREb_GRG9HQrp1NA	UC49r4GNHHpc-eQ9hmD2Rg6A
95	Already Gone	Eagles	On the Border	LIKE	yJD8ABf5jbY	MPREb_jLMUc4zoP2z	UC49r4GNHHpc-eQ9hmD2Rg6A
96	Is It True?	Eagles	On the Border	LIKE	9usknDllPD8	MPREb_jLMUc4zoP2z	UC49r4GNHHpc-eQ9hmD2Rg6A
82	What's Going On (Live)	Donny Hathaway	Live	LIKE	2RNIfBevov0	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
83	The Ghetto (Live at the Troubadour, Los Angeles, CA)	Donny Hathaway	Live	LIKE	XealDvQwim8	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
84	Hey Girl (Live)	Donny Hathaway	Live	LIKE	6fpWsOWolUQ	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
85	You've Got a Friend (Live)	Donny Hathaway	Live	LIKE	eKJ_6BplqBM	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
86	Little Ghetto Boy (Live)	Donny Hathaway	Live	LIKE	VMxgyFtMMsI	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
87	We're Still Friends (Live at the Bitter End, New York City, 1971)	Donny Hathaway	Live	LIKE	4bd22zPRFEs	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
88	Jealous Guy (Live)	Donny Hathaway	Live	LIKE	ROiCXJtX8xY	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
89	Voices Inside (Everything Is Everything)	Donny Hathaway	Live	LIKE	3gpN-SJD-VY	MPREb_Er3Qq8Pcp3E	UCbo89_S75FvIugOzLaz1Z2g
80	American Pie	Don McLean	American Pie	LIKE	iX_TFkut1PM	MPREb_1ZF32r1JEpI	UCMQU1g4CzQ0L3lRIbtSlMrA
81	Vincent	Don McLean	American Pie	LIKE	ciLNMesqPh0	MPREb_1ZF32r1JEpI	UCMQU1g4CzQ0L3lRIbtSlMrA
70	I Looked Away	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	6XgAdjMxjbs	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
71	Bell Bottom Blues	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	rMB9ZcOe5AI	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
72	Nobody Knows You (When You're Down And Out)	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	0eT7osa2oXY	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
73	Key To The Highway	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	YLA2Uzo4ZNg	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
74	Have You Ever Loved A Woman	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	HhObJK26vhQ	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
75	Little Wing	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	EOW9aixXnq4	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
76	It's Too Late	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	Td7BlV4EW7s	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
77	Layla	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	tBTJ3W06Eeg	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
78	Evil	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	rU5UoUC-Ick	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
79	One More Chance	Derek & The Dominos	Layla And Other Assorted Love Songs (50th Anniversary Deluxe Edition)	LIKE	jgfOGk555ZY	MPREb_dpDRunbWjGX	UCSM5eFvWhMNcMxd0BH52HJg
67	Highway Star	Deep Purple	Machine Head	LIKE	xKwPOy_nEmI	MPREb_jlJ2PR35yRK	UCoPZoa-KzZQRxspnRGZTx7A
68	Smoke on the Water	Deep Purple	Machine Head	LIKE	_zO6lWfvM0g	MPREb_jlJ2PR35yRK	UCoPZoa-KzZQRxspnRGZTx7A
69	Lazy	Deep Purple	Machine Head	LIKE	5kuwn20Fz_4	MPREb_jlJ2PR35yRK	UCoPZoa-KzZQRxspnRGZTx7A
32	Drive-In Saturday	David Bowie	Aladdin Sane	LIKE	WABWNOEwC9A	MPREb_fCmwZFoEsyQ	UCvY1eVE6lTebXsdFbbXUtkQ
33	Time	David Bowie	Aladdin Sane	LIKE	GDP9jLwzh0g	MPREb_fCmwZFoEsyQ	UCvY1eVE6lTebXsdFbbXUtkQ
34	The Prettiest Star	David Bowie	Aladdin Sane	LIKE	8SWb0ShWDQg	MPREb_fCmwZFoEsyQ	UCvY1eVE6lTebXsdFbbXUtkQ
35	The Jean Genie	David Bowie	Aladdin Sane	LIKE	KK9ReEJ4tW0	MPREb_fCmwZFoEsyQ	UCvY1eVE6lTebXsdFbbXUtkQ
36	Lady Grinning Soul	David Bowie	Aladdin Sane	LIKE	18d_pLKgMoY	MPREb_fCmwZFoEsyQ	UCvY1eVE6lTebXsdFbbXUtkQ
37	Rebel Rebel	David Bowie	Diamond Dogs	LIKE	8jxhpOYNcDY	MPREb_hEyT0axmMFL	UCvY1eVE6lTebXsdFbbXUtkQ
38	We Are the Dead	David Bowie	Diamond Dogs	LIKE	4QEs1sjlLYA	MPREb_hEyT0axmMFL	UCvY1eVE6lTebXsdFbbXUtkQ
39	Chant of the Ever Circling Skeletal Family	David Bowie	Diamond Dogs	LIKE	BAR-vuYXZB4	MPREb_hEyT0axmMFL	UCvY1eVE6lTebXsdFbbXUtkQ
40	Changes	David Bowie	Hunky Dory	LIKE	7fdhI3qUdSs	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
41	Oh! You Pretty Things	David Bowie	Hunky Dory	LIKE	ccMYgiSC_eQ	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
42	Eight Line Poem	David Bowie	Hunky Dory	LIKE	aVqNJKQiPCA	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
43	Life on Mars?	David Bowie	Hunky Dory	LIKE	Enzxdvo8NOk	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
44	Kooks	David Bowie	Hunky Dory	LIKE	jCaMwqtwJTc	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
45	Quicksand	David Bowie	Hunky Dory	LIKE	kFN_bEgDE0M	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
46	Fill Your Heart	David Bowie	Hunky Dory	LIKE	uD1M6XAQELg	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
47	Andy Warhol	David Bowie	Hunky Dory	LIKE	n--Ro4-hNbo	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
48	Song for Bob Dylan	David Bowie	Hunky Dory	LIKE	v23YSyH3Fe8	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
49	Queen Bitch	David Bowie	Hunky Dory	LIKE	2_ayFz62eYE	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
50	The Bewlay Brothers	David Bowie	Hunky Dory	LIKE	r8IGkLWmf4E	MPREb_e6Raab8DZaH	UCvY1eVE6lTebXsdFbbXUtkQ
51	The Width of a Circle	David Bowie	The Man Who Sold the World	LIKE	pnRNAIQAc50	MPREb_UNi074GYZqD	UCvY1eVE6lTebXsdFbbXUtkQ
52	All the Madmen	David Bowie	The Man Who Sold the World	LIKE	KrlvgARHdzc	MPREb_UNi074GYZqD	UCvY1eVE6lTebXsdFbbXUtkQ
