	title	artist	album	likeStatus	videoId	albumId	artistId
2869	Atomic Bomb	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	RgWMkzLSA8o	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
2870	Good Name	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	OuVT-i71mUU	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
2871	Something You Will Never Forget	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	qt_HOwHDQ3o	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
2874	Heaven and Hell	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	j5N8dQjrGnY	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
2876	Fantastic Man	William Onyeabor	World Psychedelic Classics 5: Who Is William Onyeabor?	LIKE	PW-lgA8Esjc	MPREb_zdWPPOphj5a	UCC8Kbo8OnDN_NQTB-y7HT4g
1175	Railroad Song	Will Epstein	The Beautiful Moon - EP	LIKE	Q7qp7CSMDoI	MPREb_Euor95IC3xO	UC4-2FXO6LBSyMHhqy-SDqEg
1177	Forest Eyes	Will Epstein	The Beautiful Moon - EP	LIKE	xE3Ooei-TD0	MPREb_Euor95IC3xO	UC4-2FXO6LBSyMHhqy-SDqEg
2861	The Body In Rainfall	Wild Nothing	Empty Estate	LIKE	gVrPS5N8uts	MPREb_bUPQHxRWhvH	UCbaJZUVqfEZPtwaUzGgdZ8A
2863	On Guyot	Wild Nothing	Empty Estate	LIKE	AiST2ok5A6M	MPREb_bUPQHxRWhvH	UCbaJZUVqfEZPtwaUzGgdZ8A
2866	A Dancing Shell	Wild Nothing	Empty Estate	LIKE	PlZ2dLADJa0	MPREb_bUPQHxRWhvH	UCbaJZUVqfEZPtwaUzGgdZ8A
2852	Heal	Weed	Deserve	LIKE	uGfbYQYRMHs	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2853	Set Me Back	Weed	Deserve	LIKE	YOoVOmiN24E	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2854	Gun Shy	Weed	Deserve	LIKE	gBYgBvgYJDg	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2855	Silent Partner	Weed	Deserve	LIKE	ImR-FzlzVGM	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2856	Hollowed Out	Weed	Deserve	LIKE	I6cX3RJ8f5g	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2857	Options	Weed	Deserve	LIKE	PztZwioGvI8	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2858	Your Right	Weed	Deserve	LIKE	V1kHHsrT4z0	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2859	A Few Healthy Years	Weed	Deserve	LIKE	fJ1yBSh9o2A	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2860	Granted	Weed	Deserve	LIKE	OQRaIPdwSGo	MPREb_RaLrfndsPaD	UCWBlGApAqXhKpQo5XCEvM6Q
2835	Everything Is My Fault	Wavves	Afraid Of Heights	LIKE	w4N-OeWAs4U	MPREb_vI7zbkx18Ng	UCBYaFtXX67SKAvMqQ4m0NMQ
2818	It All Feels Right	Washed Out	Paracosm	LIKE	4ielFKJCawI	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2820	Weightless	Washed Out	Paracosm	LIKE	nC0s0Z1HoDM	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2821	All I Know	Washed Out	Paracosm	LIKE	7BMvZ7BLkrA	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2822	Great Escape	Washed Out	Paracosm	LIKE	Pu7Xz7OKGpM	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2823	Paracosm	Washed Out	Paracosm	LIKE	_88wEP2IN9M	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2825	All over Now	Washed Out	Paracosm	LIKE	O5BGPG8R-Lc	MPREb_LqUKjPb3L0R	UC1rCT_Cy1pP1wnRcEUV3nPA
2809	Orchards	Wampire	Curiosity	LIKE	eGj-quRc0oo	MPREb_ZQL1BXRf27u	UC-XPGiKD-50Lw35kqjun28Q
2810	Spirit Forest	Wampire	Curiosity	LIKE	l2FmWy50tZc	MPREb_ZQL1BXRf27u	UC-XPGiKD-50Lw35kqjun28Q
2814	Trains	Wampire	Curiosity	LIKE	aJYGfFyJ3PM	MPREb_ZQL1BXRf27u	UC-XPGiKD-50Lw35kqjun28Q
2815	Snacks	Wampire	Curiosity	LIKE	MecLg32ltZ8	MPREb_ZQL1BXRf27u	UC-XPGiKD-50Lw35kqjun28Q
2816	Magic Light	Wampire	Curiosity	LIKE	H8zK9JbKK7A	MPREb_ZQL1BXRf27u	UC-XPGiKD-50Lw35kqjun28Q
2801	Dracula	Vondelpark	Seabed	LIKE	_7B2t2RwRBg	MPREb_aX6fhAM9fuc	UCyN0KFQw2s3ylsW1-SY-SYQ
2806	Bananas (on my biceps)	Vondelpark	Seabed	LIKE	najxFcGrlZo	MPREb_aX6fhAM9fuc	UCyN0KFQw2s3ylsW1-SY-SYQ
2782	Guns & Roses	Vince Staples	Stolen Youth	LIKE	MFh_EVmWINQ	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
2787	Sleep (feat. Dash, Ab-Soul & Mac Miller)	Vince Staples	Stolen Youth	LIKE	JIWhcvLrdDU	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
2791	Humble	Vince Staples	Stolen Youth	LIKE	WBfr4Ccpx08	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
