	title	artist	album	likeStatus	videoId	albumId	artistId
306	French Fries	Tim Bailey	French Fries	INDIFFERENT	c5DgKp8j_e8	MPREb_Oayogwdtwuh	UCOD2DxB6nwFvBvSIIlRdZmA
39	Every Little Piece (Hot Since 82 Remix) (feat. Caitlin Devlin)	Thomas Schumacher featuring Caitlin Devlin	Change the Game	INDIFFERENT	Y-kzmOctwhQ	MPREb_94BdVnmQzcG	UC7KLbceUH8rRpmGvO-e2wjA
147	Majora's Mask	Theophany	Time's End: Majora's Mask (Remixed)	INDIFFERENT	Ew8ua84qupM	MPREb_nNZJfw9NHKQ	UCWGXrveJdx3U3qEW1h4GyNQ
316	Businessman on Diazepam	The Other Tribe	Waves, Vol. 1 (Mixed By Murder He Wrote)	INDIFFERENT	7lfMVFrjPJM	MPREb_mD7YLqtpHgh	UCUEX0Vtwlby3E206gNUc2vw
186	Work It (Grant Nalder Mix)	The New Iberican League, Roland Clark	Iberican League Summer Remixes	INDIFFERENT	nYWZda-xNYI	MPREb_VOAwFBLSKCZ	UCDo5iXkhlPvspKR5tLQnm8Q
84	Conscience down by the tracks near the 80	The Mole	Katapult various artists vol 3	INDIFFERENT	lFszrhQs7OM	MPREb_Oxwn3USfTga	UCvaa8e1TLZaGiz3oAcRfDng
287	Subway	Tessela	Slugger	INDIFFERENT	X68Lt2_uoqY	MPREb_yKXt7u0pTdA	UCAUTK5AsxCCaqAMnWhwZzqw
288	Acid Test	Tessela	Nasty Rips and Shifting Peaks Volume 1	INDIFFERENT	qjmQr4M3qW0	MPREb_PXedTXzu8LR	UCAUTK5AsxCCaqAMnWhwZzqw
182	Off My Mind (Reel Soul Vocal Mix)	TONYA RENEE	Off My Mind - EP	INDIFFERENT	2KskWiMXzvc	MPREb_tkQKhxbTkkK	UCUCEY4gUt5jUhfNP_BkWw3g
105	Just Gets Better (Extended Dub) (feat. Xavier)	TJR	Just Gets Better	INDIFFERENT	MYhiP7txuCo	MPREb_cIe5YTTOZaG	UCkHbPfLPTVI3RZ-7OStTB0g
219	Real Love (feat. Kat Blu)	TJ CASES	2 Step UK Garage 1997-2000	INDIFFERENT	U0MZXrw1pM8	MPREb_Mns6lv3unZx	UCvtG4a9uLIcjTxG7Xi7wVig
274	Heartbroken (Edit)	T2	Heartbroken	INDIFFERENT	W2SLeBZSe9A	MPREb_856qD86OCRI	UChEZHGbD3L0jaYbImIQasbw
126	Memories of Love	Synkro	Broken Promise EP	INDIFFERENT	p8L0PtN6Tts	MPREb_NCaruZG2mru	UCftWY9HJZtBEBd0Y9ftDPxQ
127	Why Don't You	Synkro	Broken Promise EP	INDIFFERENT	AQqUfZ5rxi0	MPREb_NCaruZG2mru	UCftWY9HJZtBEBd0Y9ftDPxQ
194	Redlight	Swedish House Mafia	Paradise Again	INDIFFERENT	893Hji9r8sI	MPREb_JnMVyRDminG	UCl5p1gD46TZVsoQmM8VZ2gQ
289	Stay	Submerse	Streams	INDIFFERENT	2TaLvIcVbwo	MPREb_pxPZb1Hudyn	UCjtvC7kQZTtmJ9Y00cfMqLg
