	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
X0LTeebyPZs	Crying In The Chapel	The Orioles	Doo Wop Classics	The Orioles	LIKE		2011.0	Album	182.0
xKawIevXL0Q	Crying in the Chapel	The Orioles	Greatest Hits	The Orioles	INDIFFERENT		2014.0	Album	
19MEL3CJXN4	Crying in the Chapel	The Orioles	Til Then	The Orioles	INDIFFERENT		2022.0	Album	181.0
tOP7ssSHAss	I Love How You Love Me	The Paris Sisters	I Love How You Love Me	The Paris Sisters	LIKE		2020.0	Album	
NaEDklECzA4	I Love How You Love Me	The Paris Sisters	I Love How You Love Me / All Through the Night (Digital 45)	The Paris Sisters	INDIFFERENT		1961.0	Single	123.0
e2PRh2ODyZM	I Love How You Love Me	The Paris Sisters	Twin Peaks (Music From the Limited Event Series)	Angelo Badalamenti	INDIFFERENT				
HF1tyjvH9is	California Sun	The Rivieras	Let's Have a Party	The Rivieras	LIKE		1964.0	Album	
NfSAtNMc59g	Not Fade Away (Mono Version)	The Rolling Stones	England's Newest Hitmakers	The Rolling Stones	LIKE		1964.0	Album	108.0
jkfojbL_yTk	Needles and Pins	The Searchers	It's The Searchers	The Searchers	INDIFFERENT		2016.0	Album	
8zWQfg7bkg8	Needles and Pins (Mono)	The Searchers	It's The Searchers	The Searchers	LIKE		2016.0	Album	134.0
sTR2UNrI1Jw	Needles and Pins (Mono)	The Searchers	Needles & Pins	The Searchers	LIKE		2004.0	Album	
BWIf4Ifk6aQ	Leader Of The Pack	The Shangri-Las	Leader Of The Pack	The Shangri-Las	LIKE		1998.0	Album	
KF33Xzh_kY8	Get a Job	The Silhouettes	Summer Souvenirs	Various Artists	LIKE		1969.0	Album	
oj7yF6YcTqk	Since I Don't Have You	The Skyliners	Since I Don't Have You (50th Anniversary Golden Edition)	The Skyliners	LIKE		1963.0	Album	159.0
tsnd93FPr6E	Hey Joe, Where You Gonna Go	The Standells	Dirty Water (Expanded Edition)	The Standells	LIKE	4.5555553	1966.0	Album	
DpSIRqvx5us	Dirty Water	The Standells	Dirty Water (Expanded Edition)	The Standells	LIKE		1966.0	Album	168.0
sM5OhzKE4ys	When You Dance	The Turbans	The Turbans and the Mellow-Kings Doo Wop Hits, Vol. 1	The Turbans	LIKE		2015.0	Album	177.0
Die_yH0S7Is	When You Dance	The Turbans	When You Dance	The Turbans	LIKE		2008.0	Album	
aU4DE3TIwWk	When You Dance	The Turbans	When You Dance / Let Me Show You Around My Heart	The Turbans	LIKE		1955.0	Single	178.0
H4lurE-IpHE	1921	The Who	Tommy	The Who	LIKE	4.3957639	1969.0	Album	
TvMy6cF7XeM	Heart Full of Soul	The Yardbirds	Having a Rave Up with The Yardbirds	The Yardbirds	LIKE		2020.0	Album	148.0
bVgw78bvfNw	Good Lovin' (Single Version)	The Young Rascals	1966	Various Artists	LIKE		2017.0	Album	
swMzw_e2lJg	Good Lovin' (Single Version)	The Young Rascals	The Young Rascals	The Rascals	LIKE		1966.0	Album	
GiNR187EMd4	Angels	The xx	Coexist	The xx	LIKE		2012.0	Album	172.0
9AjFa3TULP4	Angels	The xx	Coexist (Deluxe Edition)	The xx	INDIFFERENT		2022.0	Album	172.0
