	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
AIfS9R9mDkc	Summertime Blues	Eddie Cochran	Summertime Blues	Eddie Cochran	LIKE		2011.0	Single	
6LjdJgTSIRo	C.R.E.A.M.	El Michels Affair	Enter The 37th Chamber	El Michels Affair	LIKE	4.8227763	2009.0	Album	
iRi9ndibW0c	(Let Me Be Your) Teddy Bear	Elvis Presley	Elv1s: 30 #1 Hits	Elvis Presley	INDIFFERENT		2002.0	Album	
5eYjNtK7Ir0	Burning Love	Elvis Presley	Elvis (Fool) (Deluxe)	Elvis Presley	LIKE		1973.0	Album	
e0VU8kjcknQ	(Let Me Be Your) Teddy Bear	Elvis Presley	Elvis' Golden Records	Elvis Presley	LIKE		1958.0	Album	108.0
v_U8vXSc9_4	Burning Love	Elvis Presley	The Essential Elvis Presley	Elvis Presley	INDIFFERENT		2006.0	Album	
vY7RkBpRUYk	Mediterasian	Filippo Dall'asta	Mediterasian	Filippo Dall'asta	LIKE		2018.0	Album	
9DxO292lTEk	Mediterasian	Filippo Dall'asta	Mediterasian	Filippo Dall'asta	INDIFFERENT		2018.0	Album	251.0
vfs6X7boS1s	Sara	Fleetwood Mac	Tusk (Expanded)	Fleetwood Mac	LIKE		1979.0	Album	
63wSCGTlgJw	It's The Same Old Song (Single Version / Mono)	Four Tops	The Complete Motown Singles, Vol. 5: 1965	Various Artists	INDIFFERENT		2006.0	Album	
FtIDa31wvlY	It's The Same Old Song	Four Tops	The Definitive Collection	Four Tops	LIKE		2008.0	Album	
-iMYUZvQtE8	It's The Same Old Song (Single Version / Mono)	Four Tops	The Ultimate Collection: Four Tops	Four Tops	LIKE		1997.0	Album	
xz5W5bKLj_4	I've Got You Under My Skin	Frank Sinatra	Songs for Swingin' Lovers!	Frank Sinatra	LIKE		1956.0	Album	
1j73UBYjY74	Why Do Fools Fall in Love	Frankie Lymon	The Best Of Frankie Lymon & The Teenagers	Frankie Lymon and The Teenagers	LIKE		1989.0	Album	
JBTxmwYgMJk	Sherry	Frankie Valli & The Four Seasons	Jersey Boys: Music From The Motion Picture And Broadway Musical	Jersey Boys	LIKE	4.7181854	2014.0	Album	
0g4IPEkxmtI	Sherry	Frankie Valli & The Four Seasons	September	Various Artists	LIKE		2020.0	Album	
-k0_HD4fHlE	Rag Doll	Frankie Valli & The Four Seasons	The Very Best of Frankie Valli & The 4 Seasons	Frankie Valli & The Four Seasons	LIKE		2002.0	Album	
KGXOee6-Wis	The Young Ones (2005 Remaster)	Freddie & The Dreamers	6 x 6: The Sixties	Various Artists	LIKE		2011.0	Album	
peL_obNT-vQ	One Nation Under a Groove	Funkadelic	One Nation Under a Groove	Funkadelic	LIKE				
B_9rYJuuHj4	One Nation Under A Groove	Funkadelic	Young Soul Rebel (Original Soundtrack)	Various Artists	INDIFFERENT		1991.0	Album	
0ACP0RgMcvI	One Nation Under a Groove	Funkadelic	Young Soul Rebels (Original Soundtrack) [Digitally Remastered]	Various Artists	LIKE		1991.0	Album	449.0
ETMD16zZfCg	Only Happy When It Rains	Garbage	Garbage	Garbage	LIKE		1995.0	Album	236.0
6WsHetAIxaY	Jungle Rot	George Brigman	Jungle Rot	George Brigman	LIKE		2005.0	Album	221.0
k6fGcpp3KzE	Who Do You Love?	George Thorogood And The Destroyers	The Baddest Of George Thorogood And The Destroyers	George Thorogood & The Destroyers	LIKE	4.7657394	1992.0	Album	
OaanvLgGQUk	Radar Love	Golden Earring	Moontan	Golden Earring	LIKE		1973.0	EP	
11Lj75cjg44	Radar Love	Golden Earring	Moontan	Golden Earring	LIKE		1973.0	EP	
k7A6Ugs0NFw	Night Nurse	Gregory Isaacs	Night Nurse	Gregory Isaacs	LIKE		1982.0	Album	
PvheubKIJz8	Night Nurse	Gregory Isaacs	Night Nurse	Gregory Isaacs	LIKE		1982.0	Album	247.0
kom0OPpy5VQ	Some Weird Sin	Iggy Pop	Lust For Life	Iggy Pop	LIKE	4.5954323	1977.0	Album	
vYZ-n8L0AaI	Lust For Life	Iggy Pop	Lust For Life	Iggy Pop	LIKE	4.6638637	1977.0	Album	
J9vG5BhOKaY	Lonely Teardrops	Jackie Wilson	20 Greatest Hits	Jackie Wilson	LIKE		2010.0	Album	
e3LVGBB94eY	Come A Little Bit Closer	Jay & The Americans	Come A Little Bit Closer	Jay & The Americans	LIKE		1964.0	Album	
pmqT4hTp6po	Watch Her Ride	Jefferson Airplane	The Worst Of Jefferson Airplane	Jefferson Airplane	LIKE	4.4285712	1970.0	Album	
8mSIX8G_0Mk	Living in the Past (2001 Remaster)	Jethro Tull	Stand Up	Jethro Tull	LIKE		1969.0	Album	
vmE7uZs8qOE	Diamonds And Rust	Joan Baez	The Greatest Hits	Joan Baez	LIKE		2000.0	Album	288.0
jC3kNngNsIg	Home	Joe Goddard	Electric Lines (Deluxe Version)	Joe Goddard	LIKE	3.7192514	2017.0	Album	
EUxv3AAaK_Y	Blue Bossa	Joe Henderson	Page One	Joe Henderson	LIKE		1963.0	EP	
rtLDbhTSTUQ	Autumn Serenade	John Coltrane	John Coltrane And Johnny Hartman	John Coltrane	LIKE		1963.0	Album	259.0
eR8UnjYag-U	Police In Helicopter	John Holt	Police In Helicopter	John Holt	LIKE		1983.0	Album	217.0
vS19ej0ZiDw	The Water (feat. Laura Marling)	Johnny Flynn	Been Listening	Johnny Flynn	LIKE		2010.0	Album	
5Y0da_fSK8I	Time (You and I)	Khruangbin	Mordechai	Khruangbin	LIKE	4.5607357	2020.0	Album	
oXL3KcowG90	If I Lead	Kiltro	Creatures of Habit	Kiltro	LIKE	4.6379309	2019.0	Album	
x81SMw8qUh0	Blind	Korn	Korn	Korn	LIKE		1994.0	Album	
FUi_6mOZDFA	Casey's Last Ride	Kris Kristofferson	Kristofferson	Kris Kristofferson	LIKE	4.1584702	1970.0	Album	
Dw5HjXKop0Q	Short Fat Fannie	Larry Williams	Larry Williams Said Yeah!	Larry Williams	LIKE		2011.0	Album	
3nYWmJfHwk4	The Crunge (Remaster)	Led Zeppelin	Houses of the Holy (Remaster)	Led Zeppelin	LIKE		1973.0	Album	198.0
0E1VXKkCvhc	Misty Mountain Hop (Remaster)	Led Zeppelin	Led Zeppelin IV (Remaster)	Led Zeppelin	LIKE	4.6582656	1971.0	Album	
u9vmIA0X_-I	Misty Mountain Hop (Remaster)	Led Zeppelin	Led Zeppelin x Led Zeppelin	Led Zeppelin	LIKE		2018.0	Album	279.0
_6po3eP1sWI	Blue Shift	Lemaitre	The Friendly Sound	Lemaitre	LIKE		2010.0	EP	
RjdH_NmmO0I	It's My Party	Lesley Gore	I'll Cry If I Want To	Lesley Gore	LIKE		1963.0	Album	
sNRbqt6oikE	Realise	Lone	Inlove2	Lone	LIKE		2021.0	EP	
Nacm32DnSQs	Naked Eye	Luscious Jackson	Fever In Fever Out	Luscious Jackson	LIKE		1996.0	Album	281.0
K7CQhyRdIOA	Soul Makossa	Manu Dibango	Manu Dibango Anthology	Manu Dibango	LIKE		2018.0	Album	265.0
PQ1Ll59J3VY	Let's Get It On	Marvin Gaye	20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye, Vol 2: The 70's	Marvin Gaye	LIKE		2000.0	Album	
Nzwxv5FI4ZY	You're All I Need To Get By	Marvin Gaye	Every Great Motown Hit Of Marvin Gaye	Marvin Gaye	LIKE	4.5555553	1983.0	Album	
-0IRdFkNQ00	I Want You	Marvin Gaye	I Want You	Marvin Gaye	LIKE	4.7601485	1976.0	Album	
54LgyqSPfsQ	Let's Get It On	Marvin Gaye	Let's Get It On	Marvin Gaye	LIKE	4.7639065	1973.0	Album	
