	title	trackCount	duration	privacy	id
0	Your Likes	4965	7+ hours	PUBLIC	LM
1	'10s Electronic	99	8 hours, 27 minutes	PUBLIC	RDCLAK5uy_lvnl-qLThmB2VUUwN33HvXwwCOesXrH1s
2	ambiant electro	65	4 hours, 41 minutes	PRIVATE	PLWptjpDqazOzjaFOAlWV37AywCmro60ET
3	ambient	602	7+ hours	PRIVATE	PLWptjpDqazOx9vu0TIMz4SYVTtFCV0eP2
4	ambient BOC	41	2 hours, 50 minutes	PRIVATE	PLWptjpDqazOzITeP_G67GYyhln2-XDjjp
5	ambient modern	81	8 hours, 19 minutes	PRIVATE	PLWptjpDqazOzDyl-mqP9Y9mwn3-Tr_2fA
6	Ambient Unrated Albums 2018-2019	226	13+ hours	PRIVATE	PLWptjpDqazOzBWSGKFwz9uJZLqDaVAn7x
7	Beat instrumentals	50	2 hours, 52 minutes	PRIVATE	PLWptjpDqazOzirfde1dKpTWYzyvY55uvk
8	beats	516	5+ hours	PRIVATE	PLWptjpDqazOzRFZYXBEom0CbF8ndefgv8
9	beats radio	1140	5+ hours	PRIVATE	PLWptjpDqazOzLhXemZtJ0-Z5k-2fvIjkc
10	beats wonky LA '10 scene	358	5+ hours	PRIVATE	PLWptjpDqazOzLLRGA9sSRR0ZSu54kWdOX
11	blues	154	5+ hours	PRIVATE	PLWptjpDqazOyqi1ac_fAuSBcMwUq5dHK4
12	blues radio	242	5+ hours	PRIVATE	PLWptjpDqazOxqeaNzxgSQAfHlTrRuAbY0
13	brass	264	5+ hours	PRIVATE	PLWptjpDqazOynY8KaZJr6iQxkMsekIyaU
14	Brass n chill	149	5+ hours	PRIVATE	PLWptjpDqazOy-rsznCJCnzCZUM4VtBmyh
15	California Dreamin'	65	3 hours, 15 minutes	PUBLIC	RDCLAK5uy_nMKe7Yds2m7XQugfR3fkzPmqopz7YjqVY
16	Chill Indie Beats	152	7+ hours	PUBLIC	RDCLAK5uy_n4PxrIi6RuYOdUzffW5bmRjzbxwwmMBk4
17	Chillwave	211	5+ hours	PRIVATE	PLWptjpDqazOz8uJMJlqGaGsTK7QAX9n0S
18	Classic Rock's Greatest Hits	141	7+ hours	PUBLIC	RDCLAK5uy_nZiG9ehz_MQoWQxY5yElsLHCcG0tv9PRg
19	Classic West Coast Hip Hop	105	7+ hours	PUBLIC	RDCLAK5uy_mU6GwWHPorAUvZLgNsRekuN-Wvltw0oZ0
20	classical guitar	1	3 minutes, 25 seconds	PUBLIC	PLWptjpDqazOxtBFmD_8ZEMU9fhru2mYzv
21	Classical piano	75	3 hours, 37 minutes	PRIVATE	PLWptjpDqazOy5872uAp9-K2lytMyAwBAh
22	Dance radio	289	5+ hours	PRIVATE	PLWptjpDqazOxwAAE5mfNgFfPqebStCbIq
23	Deep Cut Kick Back	68	4 hours, 19 minutes	PUBLIC	RDCLAK5uy_lWXhcxaChOFwu26iLKecUVXRopZoLLt28
24	demo	9	8 minutes, 30 seconds	PUBLIC	PLWptjpDqazOxkBwUpPwFPwSg5zMpoglit
25	electronic chill	364	6+ hours	PRIVATE	PLWptjpDqazOwepQVdaB47oU4xEM3FfT_p
26	electronic jaar	38	2 hours, 57 minutes	PRIVATE	PLWptjpDqazOx811f6V-BHTQ0TfKC2qaRG
27	electronic lofi house	12	1 hour, 6 minutes	PRIVATE	PLWptjpDqazOxFxnCcZlFBBGEJfaOKMSUU
28	electronic lofi house radio	177	10+ hours	PRIVATE	PLWptjpDqazOx7fVVOdqKdErD1hUe_hh38
29	electronic new indie beats	270	7+ hours	PRIVATE	PLWptjpDqazOxuohC3NfHZE7B7AOExePAY
30	electronic radio	244	7+ hours	PRIVATE	PLWptjpDqazOwHxARssY1O5i0T6JXmzKMY
31	electronic radio Queue	199	7+ hours	PRIVATE	PLWptjpDqazOz2Oc3YftFZjqq7yimfM14Q
32	electronic top	834	7+ hours	PRIVATE	PLWptjpDqazOyCx8W4KrHnbRtxvEJ8TNNL
33	electronic uk	227	6+ hours	PRIVATE	PLWptjpDqazOynDagqTo9DhiHI6yfYgtiI
