	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
XJYq2fhR7mY	Dream On	Aerosmith	Metal Classics	Various Artists	INDIFFERENT		2023.0	Album	265.0
gWUZHVT-qQY	Down in a Hole	Alice In Chains	Nothing Safe - The Best Of The Box	Alice In Chains	INDIFFERENT		1999.0	Album	
LPICeC48sNc	Uptown Top Ranking	Althea & Donna	Reggae Anthology: Joe Gibbs - Scorchers From The Mighty Two	Various Artists	INDIFFERENT		2008.0	Album	
g-6PuzqoNYQ	Jail-House Frog	Amon Düül II	Wolf City	Amon Düül II	INDIFFERENT		1972.0	Album	
Z0RTstVkmB0	Your Glass House	Atmosphere	When Life Gives You Lemons, You Paint That Shit Gold	Atmosphere	INDIFFERENT	4.7761192	2008.0	Album	
yqzseL-KocM	You Ain't Seen Nothing Yet	Bachman-Turner Overdrive	70's Pop Number 1's	Various Artists	INDIFFERENT		2007.0	Album	
YW1kk-J1U8M	Under Mi Sensi	Barrington Levy	Reggae Hits, Vol. 1	Various Artists	INDIFFERENT		1985.0	Album	
lMeWNGZdhRc	Whole Lotta Shakin' Goin' On	Big Maybelle	Rock'n'Roll Hot Spices	Various Artists	INDIFFERENT		2013.0	Album	
0TjPshLdg38	Dream Lover	Bobby Darin	Dream Lover	Bobby Darin	INDIFFERENT		2018.0	Album	152.0
magUu0urB4E	If I Were a Carpenter	Bobby Darin	High School of Rock	Various Artists	INDIFFERENT	3.652174	2015.0	Album	
6qWgmMjzBwo	Lowdown	Boz Scaggs	Rock Classics Of The '70s	Various Artists	INDIFFERENT		1989.0	Album	
oJGTMzpQnMk	Sealed With A Kiss	Brian Hyland	Greatest Hits	Brian Hyland	INDIFFERENT	4.3359776	1994.0	Album	
GFx4r_hYymA	Oh Boy	Buddy Holly	"La discothèque idéale / Nos années 60 !: Vol. 8 ""Les rockers"", Pt. 2"	Various Artists	INDIFFERENT	5.0	2012.0	Album	
JVp2l_M2vvc	A Summer Song	Chad & Jeremy	Sing for You	Chad & Jeremy	INDIFFERENT	4.4226975	2013.0	Album	
oTO7jL-Fv8M	That Old Feeling	Chet Baker	Chet Baker Sings	Chet Baker	INDIFFERENT		1998.0	Album	
OaNlIn1SHjg	Yellow River	Christie	70-Tals Nostalgi	Various Artists	INDIFFERENT		2002.0	Album	
mqlAkSHvqR8	The Twist	Chubby Checker	The Last Great Rock 'n' Roll Reunion Show	Various Artists	INDIFFERENT		2016.0	Album	
FExBwfQHXlE	Feels So Good	Chuck Mangione	Feels So Good	Chuck Mangione	INDIFFERENT		1977.0	Album	
-bWVK7XcY5s	White Room	Cream	Tunes That Stick Vol 3	Various Artists	INDIFFERENT		2023.0	Album	299.0
_PtOiIG5TUM	Wooden Ships (Live)	Crosby, Stills, Nash & Young	CSNY/Déjà Vu Live	Crosby, Stills, Nash & Young	INDIFFERENT		2008.0	Album	499.0
daJOohVpEzg	At The Hop	Danny & The juniors	The Only Doo Wop Album You'll Ever Need	Various Artists	INDIFFERENT	4.5294118	2013.0	Album	
0Ut5iHZcfhw	Child in Time	Deep Purple	In Rock	Deep Purple	INDIFFERENT		1970.0	Album	621.0
-9w4SYV-Nn4	Same Old Song	Delroy Wilson	The Very Best Of Delroy Wilson	Delroy Wilson	INDIFFERENT	4.4695339	2007.0	Album	
3A1i9XtCe2g	007 (Shanty Town)	Desmond Dekker	King Of Ska: The Indispensable Desmond Dekker	Desmond Dekker	INDIFFERENT		2014.0	Album	155.0
C1lRhDO5D_Y	Love Song (Helado Negro Remix)	Devendra Banhart	Vast Ovoid	Devendra Banhart	INDIFFERENT		2020.0	EP	
SbYa7NBYyRc	The Wanderer	Dion	The Complete Laurie Singles	Dion	INDIFFERENT		2012.0	Album	
6Wp1y7YbjQM	A Teenager in Love	Dion & The Belmonts	The Top of the Rock'n'roll & the Boogie Woogie (Sound of the 50's & 60's)	Various Artists	INDIFFERENT		1966.0	Album	
pbBJve0mAB0	Manoir de mes reves	Django Reinhardt	Best of Django	Various Artists	INDIFFERENT		2019.0	Album	
95xMHYZzIbo	The Sheik of Araby	Django Reinhardt	Django Reinhardt Classics Vol. 5	Django Reinhardt	INDIFFERENT		2012.0	Album	
KbmPq-xq3eM	I'll See You in My Dreams	Django Reinhardt	The Best Of Django Reinhardt	Django Reinhardt	INDIFFERENT	4.8428574	1996.0	Album	
