	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
Ic3QnRj9Ev4	My Bologna	"""Weird Al"" Yankovic"	"""Weird Al"" Yankovic"	"""Weird Al"" Yankovic"	INDIFFERENT		1983.0	Album	122.0
FKOLJXdyJfE	Nobody to Love (Mono LP Version)	13th Floor Elevators	Easter Everywhere	13th Floor Elevators	INDIFFERENT		1967.0	Album	
meJSJyi8fqU	Roller Coaster (Live At La Maison, Summer 1966)	13th Floor Elevators	Headstone - The Contact Sessions	13th Floor Elevators	INDIFFERENT		2012.0	Album	
uDvuCzbwYAE	Needing To Win - 0-16	14KT	Nowalataz	14KT	INDIFFERENT	4.4475136	2010.0	Album	
9oLWDr5TZJs	Simon Says	1910 Fruitgum Company	The Best of the 1910 Fruitgum Co.	1910 Fruitgum Company	INDIFFERENT	4.0889893	2001.0	Album	
BuwxrZxEbt0	Come Back Home	2NE1	CRUSH	2NE1	INDIFFERENT		2014.0	Album	
1REuOnf91yU	Can't C Me	2Pac	All Eyez On Me	2Pac	INDIFFERENT		1996.0	Album	
SvLtjP_v7g8	Heavy In The Game (feat. Richie Rich)	2Pac	Me Against the World	2Pac	INDIFFERENT	4.7237167	1995.0	Album	
eiH0qAwaQc0	Down (Live at the UNO Lakefront Arena, New Orleans, LA - September 1997)	311	311 Live	311	INDIFFERENT		1998.0	Album	
4TDguXVp3qA	The Venus Trail	3ds	The Venus Trail	3ds	INDIFFERENT		1992.0	Album	
eZJRmHLXe8U	Respect Yourself	5 Revolutions	I'm a Free Man	5 Revolutions	INDIFFERENT		1976.0	Album	
qrG--TtbURM	out of my mind	508zelly	out of my mind	508zelly	INDIFFERENT		2019.0	Single	
Sm589l1qTL8	The Scratch	7 Year Bitch	¡Viva Zapata!	7 Year Bitch	INDIFFERENT	4.2784538	1994.0	Album	
wJTtke6VwO8	East Of Asteroid (Live From The Queen Elizabeth Hall,United Kingdom/1976)	801	801 Live	801	INDIFFERENT		1976.0	Album	
X6S32p6a8iw	Southlands 94'	90sFlav	Collection	90sFlav	INDIFFERENT		2018.0	Album	
Xc1NJna0iW4	Funeral for a Killer (Instrumental)	9th Wonder & Murs	The Final Adventure (Instrumentals)	9th Wonder	INDIFFERENT	4.6106195	2012.0	Album	
Z0nfWRfBuVs	It Is Nothing	A Place to Bury Strangers	Exploding Head	A Place to Bury Strangers	INDIFFERENT		2009.0	Album	
HHCx5fEYLyQ	Failure	A Sunny Day In Glasgow	Ashes Grammar	A Sunny Day In Glasgow	INDIFFERENT	3.9230769	2009.0	Album	
IgFb8h43O1Q	When You're Sad	A.R. Kane	The Complete Singles Collection	A.R. Kane	INDIFFERENT		2012.0	Album	
CxMcD8QHVag	SOS	ABBA	Abba	ABBA	INDIFFERENT		1975.0	Album	
bXep0aHynAQ	I Do, I Do, I Do, I Do, I Do	ABBA	Abba	ABBA	INDIFFERENT		1975.0	Album	
_oAnFBiQng4	Knowing Me, Knowing You	ABBA	Arrival	ABBA	INDIFFERENT		1976.0	Album	
Lz1wBYIudbA	Eagle (Long Version)	ABBA	The Album (Digitally Remastered)	Abba	INDIFFERENT		1977.0	Album	350.0
8WyfVoFM9As	Chiquitita	ABBA	Voulez-Vous	ABBA	INDIFFERENT		1979.0	Album	328.0
9y-8ZiAJiQo	Waterloo	ABBA	Waterloo (Deluxe Edition)	Abba	INDIFFERENT		1974.0	Album	
O0eU_qEDdWc	Poison Arrow	ABC	The Lexicon Of Love	ABC	INDIFFERENT	4.1126571	1982.0	Album	
2R0a3mCRSpU	Poison Arrow	ABC	The Lexicon Of Love (Deluxe Edition)	ABC	INDIFFERENT		1982.0	Album	
HRo2m6RYJpI	Jailbreak	AC/DC	'74 Jailbreak	AC/DC	INDIFFERENT		1984.0	EP	
59lSt6fVgMA	Girls Got Rhythm	AC/DC	Highway to Hell	AC/DC	INDIFFERENT		1979.0	Album	
3GJ223gG6d0	Walk All Over You	AC/DC	Highway to Hell	AC/DC	INDIFFERENT		1979.0	Album	
bAOwDZoWXRI	Whole Lotta Rosie	AC/DC	Let There Be Rock	AC/DC	INDIFFERENT		1977.0	Album	
n2hTsKRC31E	Let There Be Rock (Live - 1991)	AC/DC	Live (Collector's Edition)	AC/DC	INDIFFERENT		1992.0	Album	
KzeImyBG5WY	Rock 'N' Roll Damnation	AC/DC	Powerage	AC/DC	INDIFFERENT		1978.0	Album	
FFli-otaKrw	Our Future	AFTA-1	Sun Moon Wind Water	AFTA-1	INDIFFERENT	4.5128207	2014.0	EP	
WVFld36_rLc	Solar	AMAWALK	Solar	AMAWALK	INDIFFERENT		2018.0	Single	
2PrU1hcuBpc	Frosted Wood	A[way]	Frozen Roses	A[way]	INDIFFERENT		2020.0	EP	
gzpOIk5h1CY	The Music of the Ainur	Aaron Dunn	The Silmarillion Symphony, Ep. 1: The Deeps of Time	Aaron Dunn	INDIFFERENT		2014.0	EP	404.0
3hV5BxkjM74	November	Abe Vigoda	Crush	Abe Vigoda	INDIFFERENT	3.8	2010.0	Album	
c4I_Jigm6Qw	Freedom Of Speech	Above The Law	Livin' Like Hustlers	Above The Law	INDIFFERENT	3.9403563	1990.0	Album	
r0aTosdd7MQ	Livin' Like Hustlers	Above The Law	Livin' Like Hustlers	Above The Law	INDIFFERENT	4.145299	1990.0	Album	
SNZGarhNKbA	Symphony No.25 In G Minor, K. 183, 1st Movement	Academy of St. Martin in the Fields	Amadeus (The Complete Soundtrack Recording)	Academy Of St. Martin In The Fields	INDIFFERENT		1984.0	Album	
2c4z9JXz8ng	Sandy Kim	Acid Ghost	Vacation II	Acid Ghost	INDIFFERENT	4.849741	2016.0	Album	
OOtOTzqdM-k	Dark Star Blues (Live)	Acid Mothers Temple	Levitation Sessions (Live)	Acid Mothers Temple	INDIFFERENT		2021.0	Album	
21iDt3UY9YE	Chinese Flying Saucer (Live)	Acid Mothers Temple	Live in Castellón	Acid Mothers Temple	INDIFFERENT		2015.0	Album	
NZRkLC9REx8	Daydreamer	Adele	19	Adele	INDIFFERENT		2008.0	Album	
UwjepoTci2Y	Made in France	Adrien Moignard	Between Clouds	Adrien Moignard	INDIFFERENT		2012.0	Album	
0ZHAvZcJ2Ao	Django's Tiger	Adrien Moignard	Clasico	Adrien Moignard & Gonzalo Bergara	INDIFFERENT		2013.0	Album	
CETOvAXNSi8	Rue Du Languedoc	Adrien Moignard	Selmer #607	Adrien Moignard; Selmer #607	INDIFFERENT		2008.0	Album	
nNuZdwffkLg	Draw The Line	Aerosmith	Draw The Line	Aerosmith	INDIFFERENT		1977.0	Album	
NX8rp83svEY	Draw The Line	Aerosmith	Draw The Line	Aerosmith	INDIFFERENT		1977.0	Album	205.0
J8zdiovUSGQ	Cryin'	Aerosmith	Get A Grip	Aerosmith	INDIFFERENT		1993.0	Album	
ZK__9UIN5gk	Eat The Rich	Aerosmith	Get A Grip	Aerosmith	INDIFFERENT		1993.0	Album	
9Jh5xAng3gM	Livin' On The Edge	Aerosmith	Get A Grip	Aerosmith	INDIFFERENT		1993.0	Album	
XJYq2fhR7mY	Dream On	Aerosmith	Metal Classics	Various Artists	INDIFFERENT		2023.0	Album	265.0
5GieelD0lMU	Falling In Love (Is Hard On The Knees)	Aerosmith	Nine Lives	Aerosmith	INDIFFERENT		1997.0	Album	
aLxmov7oGHY	Falling In Love (Is Hard On The Knees)	Aerosmith	Nine Lives	Aerosmith	INDIFFERENT		1997.0	Album	206.0
vX9KW-8fLCQ	Angel	Aerosmith	Permanent Vacation	Aerosmith	INDIFFERENT		1987.0	Album	
BBnj_fg4IQ4	Last Child	Aerosmith	Rocks	Aerosmith	INDIFFERENT		1976.0	Album	
qPcbi1k8caI	Last Child	Aerosmith	Rocks	Aerosmith	INDIFFERENT		1976.0	Album	207.0
UYfixAc1Bcs	Back In the Saddle	Aerosmith	Rocks	Aerosmith	INDIFFERENT		1976.0	Album	281.0
JyGzXxa7eeE	Universalove	Afta1	Undefined	Afta1	INDIFFERENT	4.4698796	2014.0	Album	
tcssqo8ysqE	Superheroes (Remix)	Afta1	Undefined	Afta1	INDIFFERENT	4.5460124	2014.0	Album	
jYUOUqZoAz4	Camera's Rolling	Agnes Obel	Myopia	Agnes Obel	INDIFFERENT	4.1493506	2020.0	Album	
eSMTnLgYK8A	Nisyan	Ahmed Fakroun	Compilation	Ahmed Fakroun	INDIFFERENT		2010.0	Album	
z72waY0sCuM	Lost in Love	Air Supply	The Definitive Collection	Air Supply	INDIFFERENT		1999.0	Album	
3-ihKM_2K1c	Wait	Airhead	For Years	Airhead	INDIFFERENT		2013.0	Album	
iClhneiyAAQ	Wait	Airhead	Wait	Airhead	INDIFFERENT	3.72	2012.0	Single	
mCzGnIsA41Y	Kiss Me Sadly	Airiel	Airiel - EP	Airiel	INDIFFERENT		2005.0	EP	
PrQ6_ne_eoc	Red Friends	Airiel	The Battle of Sealand	Airiel	INDIFFERENT		2007.0	Album	
wE_rVqSyw48	In Your Room	Airiel	Winks & Kisses: Melted	Airiel	INDIFFERENT		2004.0	EP	
E4ZyO9k_8D8	Firefly	Airiel	Winks & Kisses: Melted	Airiel	INDIFFERENT		2004.0	EP	386.0
Gie-PtXj7vI	In Your Room	Airiel	Winks & Kisses: Melted	Airiel	INDIFFERENT		2004.0	EP	567.0
H-W3wC0zRWs	Nothin' You Can Do About It	Airplay	Airplay	Airplay	INDIFFERENT		1980.0	Album	
9kBjPXqTJ6I	We Went out For Coffee, It Was Nice	Aixion	We Went out For Coffee, It Was Nice	Aixion	INDIFFERENT		2018.0	Single	
L0i1U9RX_rw	I Wish You Were Here	Al Green	Al Green Is Love	Al Green	INDIFFERENT		1975.0	Album	
R0F-x0f08ZU	We're in This Love Together	Al Jarreau	Breakin' Away	Al Jarreau	INDIFFERENT	4.4012976	1981.0	Album	
QQD-OvbCfCU	Time Passages	Al Stewart	Time Passages	Al Stewart	INDIFFERENT		1978.0	Album	
Yxy1eF_w7sU	Year of the Cat (2001 Remaster)	Al Stewart	Year of the Cat	Al Stewart	INDIFFERENT		1976.0	Album	
ynoc8RW2tNg	Take A Little Trip	Alabama	American Pride	Alabama	INDIFFERENT		1992.0	Album	
Vbi2y1dgE3U	Summertime Blues	Alan Jackson	Who I Am	Alan Jackson	INDIFFERENT		1994.0	Album	
9guaxca5Qfg	Rise And Shine	Albert Griffiths & The Gladiators	A Whole Heap	Albert Griffiths & The Gladiators	INDIFFERENT		1989.0	Album	
VUxczzbZ_rU	You've Gotta Get up and Dance	Albie Donnelly's Supercharge	Local Lads Make Good	Albie Donnelly's Supercharge	INDIFFERENT		2011.0	Album	
hvZSs993E64	Time	Alcohol Funnycar	Burn	Alcohol Funnycar	INDIFFERENT		1993.0	EP	
tCLFBFPXazo	Time Goes By	Alejandro Clavijo	Time Goes By	Alejandro Clavijo	INDIFFERENT		2022.0	Single	152.0
BJdka0CTMcY	Sbirro in fuga reprise	Alessandro Alessandroni	Sangue di sbirro	Alessandro Alessandroni	INDIFFERENT			Album	
-zO-EV-Jpvw	Jagged Edge	Alessi Brothers	Long Time Friends	Alessi Brothers	INDIFFERENT		1982.0	Album	
jDpns3NT1Xk	Back & Forth	Alex Martian	Back & Forth	Alex Martian	INDIFFERENT		2019.0	Single	
finr9iOH16k	Under My Wheels	Alice Cooper	Alice Cooper's Greatest Hits	Alice Cooper	INDIFFERENT		1974.0	Album	167.0
e_qtQ52eFB0	Elected	Alice Cooper	Billion Dollar Babies (Deluxe Reissue)	Alice Cooper	INDIFFERENT		1973.0	Album	249.0
dIE-6w72bDo	Heaven Beside You	Alice In Chains	Alice In Chains	Alice In Chains	INDIFFERENT	4.6590071	1995.0	Album	
5OXM7yhw4dM	Your Decision	Alice In Chains	Black Gives Way To Blue	Alice In Chains	INDIFFERENT		2009.0	Album	
ZV-E8-VSPcs	Your Decision	Alice In Chains	Black Gives Way To Blue						
NZ5_P9MnU8g	Your Decision	Alice In Chains	Black Gives Way to Blue	Alice In Chains	INDIFFERENT		2009.0	Album	284.0
UVFd4tpphvE	Dam That River	Alice In Chains	Dirt	Alice In Chains	INDIFFERENT		1992.0	Album	
