	title	artist	album	likeStatus	duration	videoId	albumId	artistId
43	The Good Book	Emmylou Harris	The Inner Flame (A Tribute to Rainer Ptacek)	INDIFFERENT	4:01	axDZW09BTTo	MPREb_PoOFHiLDQDw	UCVq1-9pb-o24ri5P2ZicJlA
22	Fresh Blood	Eels	Hombre Lobo	INDIFFERENT	4:24	lkNC1f2shQg	MPREb_4h3xvEMZLCe	UCCqKCHVm-pttxJ44atMPwXg
24	Cryin' Time	Dwight Yoakam	Dwight Sings Buck	INDIFFERENT	2:40	sFjjQUERgxU	MPREb_Rtckd3JIrdJ	UCYHQtLvZheLBlWV-ep78CZg
45	Rocks And Gravel	Dave Van Ronk	In The Tradition	INDIFFERENT	4:25	IuDjfbzYo10	MPREb_mINZJA4Anz2	UCCg341pNKqwul6fDzBIbhqw
16	Cross Bones Style	Cat Power	Moon Pix	INDIFFERENT	4:33	xda9J7EIwLw	MPREb_1SqIZFpXwVJ	UC1s55OQBwZ1Cg-k9EC7HaGA
25	American Flag	Cat Power	Moon Pix	INDIFFERENT	3:31	yHOITZffnnY	MPREb_1SqIZFpXwVJ	UC1s55OQBwZ1Cg-k9EC7HaGA
32	Clear Spot	Captain Beefheart And The Magic Band	Clear Spot	INDIFFERENT	3:39	eOJHnfSURF4	MPREb_wW2r8b3RVLA	UCRlJs9KpXAXdQI36nkZRYTQ
53	Universal God	C. J. Johnson	The Feel Sessions - Accoustic Set Vol. 4	INDIFFERENT	3:26	63aUqiRTyhI	MPREb_9tcG2E09Vkh	UCtIzMhrDRltLZ8MyrY_JEug
18	Does My Ring Burn Your Finger	Buddy Miller	Cruel Moon	INDIFFERENT	3:16	ddoLDTxgUVs	MPREb_rTnDWxce23M	UCta_u4IhVR3zuXramkReKEQ
33	Eli	Bosnian Rainbows	Bosnian Rainbows	INDIFFERENT	5:23	e484TFUSH4E	MPREb_nQbwzAoT3g6	UCdSuKQujkYQePiG3GygSc4A
34	Bring It To Jerome	Bo Diddley	Bo Diddley	INDIFFERENT	2:27	fm2HWD5UuwA	MPREb_mhiut8LKERQ	UCTXP0wPPSDAaOS6mXeM4tgg
42	Sur Le Borde De L'Eau (On the Water's Edge)	Blind Uncle Gaspard	Early American Cajun Music: Classic Recordings From the 1920's	INDIFFERENT	3:20	SFvCRmHZDUE	MPREb_jLe0chwPosT	UCzGyL03704QaMwedm9SaxnA
50	La Louisana (Louisana)	Blind Uncle Gaspard	Early American Cajun Music: Classic Recordings From the 1920's	INDIFFERENT	2:50	5cYko7PbW-4	MPREb_jLe0chwPosT	UCzGyL03704QaMwedm9SaxnA
47	Roller Coaster	13th Floor Elevators	The Psychedelic World Of The 13th Floor Elevators CD1	INDIFFERENT	5:08	U2W4W7VF7bo	MPREb_MJUFFc1wEKZ	UCAwuokMGAQsp1gy2GmXT2AA
20	Are You Alright?	Lucinda Williams	West	DISLIKE	5:18	ZTCHtEJKJcM	MPREb_8h9YDke7Y0D	UCGoF7aZZdqGLusNy9zEOkog
40	Seeing Black	Lucinda Williams	Blessed	DISLIKE	5:14	VaQGlQmcuBw	MPREb_V3a3QfBR2gw	UCGoF7aZZdqGLusNy9zEOkog
