videoId	title	album	artist
f5yPWjZXl80	Slyd	Thr!!!er	!!!
fODKFPP03Bg	Fine Fine Fine	Thr!!!er	!!!
bWXG24r1WE4	Vices (feat. JGRXXN)	7th Or St. Tammany	$uicideboy$
BETbkbZCauk	Elysian Fields	Eternal Grey	$uicideboy$
BKETTHRWlOc	Lucky Me	Eternal Grey	$uicideboy$
88zcNuq6A8w	BREAKDALAW2K16 (feat. Pouya)	Eternal Grey	$uicideboy$
00dBgrWSths	Chariot Of Fire	Eternal Grey	$uicideboy$
jAG-DxPAD3w	Fox	$yrup & Hush (Smash Bros)	$yrup & Hush
1p_lrYPBkTg	Luigi	$yrup & Hush	$yurp.x.Divine Elite.x.Hush
GsJjzwtFkRY	U, Me And Madonna	U, Me And Madonna	1-800 GIRLS
GN6vfNxoJnA	Corners	Slipping	1-800 Girls
Sl9NykMUVcc	Long Early Morning	Illuminated Man	1000names
2OBjNEl_nk0	Weird	Refined Madness	123Mrk
EnGDhB3KjZM	Thrill	Refined Madness	123Mrk
moXyfb1Kt1w	Untroubled	Refined Madness	123Mrk
SlXcgE_7s5A	Secret Secret		123Mrk
mXFFu5yVspw	You're Gonna Miss Me (Original Mono Single Mix)	7th Heaven: Music of the Spheres	13th Floor Elevators
kV_Mh1nGue4	I Had to Tell You (Stereo LP Version)	Easter Everywhere	13th Floor Elevators
4lYm5fxKomY	(It's All over Now) Baby Blue (Mono LP Version)	Easter Everywhere	13th Floor Elevators
9ekJeS5A9y4	Now I'm Home (Splash 1)	Headstone - The Contact Sessions	13th Floor Elevators
8BFTr4YY3Eo	You're Gonna Miss Me (Stereo LP Version)	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
9C0VqnLvtJM	Reverberation - Doubt	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
Odm5xwz2xEs	Splash 1 (Stereo LP Version)	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
GSYSQYGtpXM	Reverberation (Mono LP Version)	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
MU33gsdjHgo	Roller Coaster (Stereo LP Version)	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
YIVpHNEPzDM	You're Gonna Miss Me (Mono LP Version)	The Psychedelic Sounds Of The 13th Floor Elevators	13th Floor Elevators
WwTewTBJGCc	Roller Coaster (Alternate Version - 2008 Walt Andrus Stereo Re-Master)	The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster	13th Floor Elevators
e8xNpJjWxL0	You're Gonna Miss Me (2008 Remastered Original Mono LP Version)	The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster	13th Floor Elevators
t9UjfKrN2QA	Reverberation (Doubt) [2008 Remastered Original Mono LP Version]	The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster	13th Floor Elevators
unLRzzjJxs4	You're Gonna Miss Me	The Psychedelic World Of The 13th Floor Elevators CD1	13th Floor Elevators
MmRH8IIhImc	Don't Fall Down	The Psychedelic World Of The 13th Floor Elevators CD1	13th Floor Elevators
IvebjPjNoXI	Rain Delay	A Friendly Game of KT	14KT
CnguoHZugc0	The Name Game	Nowalataz	14KT
_al76S6i5p0	Gee Whiz	Nowalataz	14KT
k6pjvebOfGI	13 dry	MIXTAP3	18+
AxZVmCBlLTo	06_crow ft. c powers	MIXTAP3	18+
3VdKMhMWB7A	Dry	Trust	18+
7gJ_XTB1Wr8	Washed Out	Sample + Hold	1st Class Lounge
v0jPhQuWJaM	Dedication	COLLEGROVE	2 Chainz
gYZ3iVdDaPc	Bentley Truck (feat. Lil Wayne)	COLLEGROVE	2 Chainz
EQnVTXQkDGg	Section (feat. Lil Wayne)	COLLEGROVE	2 Chainz
6ofI4tbJytU	Rolls Royce Weather Every Day (feat. Lil Wayne)	COLLEGROVE	2 Chainz
ZLW0tKcV-1w	Gotta Lotta (feat. Lil Wayne)	COLLEGROVE	2 Chainz
a2RX8fax8jg	Gotta Lotta (feat. Lil Wayne)	COLLEGROVE	2 Chainz
sBvyiUDJNGI	MFN Right	COLLEGROVE	2 Chainz
I4noYEwZmpw	Inertia	Amal	20syl
a5Pi_Jiagx4	Bet Dap Goom Bown	Bet Dap Goom Bown	20syl
k-G7bUhEEgQ	Ongoing Thing (feat. Oddisee)	Majestic Casual - Chapter 3	20syl
zKoOIsVGPpo	Ongoing Thing (feat. Oddisee)	Motifs - EP	20syl
Qv-YgrnByWs	C.Y.D.T.T. (Can You Dance to This!?)	Motifs - EP	20syl
WE9dd99D1pg	Kodama	Motifs - EP	20syl
50xQuOXnyqs	Dust Clouds	Motifs II - EP	20syl
C4l1KN2XbpM	Back & Forth	Motifs II - EP	20syl
4nEBER1q1eM	Moog Dub	Aerial	2562
la5Sp0-ZHFY	Ambitionz Az A Ridah	All Eyez On Me	2Pac
qaxfDjSK5fA	Skandalouz (feat. Nate Dogg)	All Eyez On Me	2Pac
R7J2A03zdZ4	Skandalouz (feat. Nate Dogg)	All Eyez On Me	2Pac
QOLTNb8r-7Q	All About U (feat. Yani Hadati, Snoop Doggy Dogg, Nate Dogg & Fatal)	All Eyez On Me	2Pac
_a9kVSJLCaA	Ambitionz Az A Ridah	All Eyez On Me	2Pac
tb8U8NK20Kg	I Ain't Mad At Cha (feat. Danny Boy)	All Eyez On Me	2Pac
Y4igcGgg000	Ambitionz Az A Ridah	All Eyez On Me	2Pac
ugD3_yt756w	Hit 'Em Up (Single Version) (feat. The Outlawz)	Greatest Hits	2Pac
Qg0RA0yWmjg	Me Against The World (feat. Dramacydal)	Me Against The World	2Pac
t_yc4i8f6xU	Old School	Me Against The World	2Pac
l3xZ0dWRe3k	It Ain't Easy	Me Against The World	2Pac
JEJTRbnyP-4	Lord Knows	Me Against The World	2Pac
96IgXis9WNw	I Get Around (feat. Digital Underground)	Strictly 4 My N.I.G.G.A.Z...	2Pac
Gmof3Z-g0do	Last Wordz (feat. Ice T & Ice Cube)	Strictly 4 My N.I.G.G.A.Z...	2Pac
Im36pPDtbW8	Guess Who's Back	Strictly 4 My N.I.G.G.A.Z...	2Pac
qAP8UpXFhUw	Keep Ya Head Up	Strictly 4 My N.I.G.G.A.Z...	2Pac
9zhK-QaEYZY	Fuck Friendz	Until The End Of Time	2Pac
TdLfoitZ9Aw	All Mixed Up	311	311
Ok2yku_PQbU	Beyond the Gray Sky	Greatest Hits '93 - '03	311
oQ1R5H2cJv4	Amber	Greatest Hits '93 - '03	311
TXSjt9xg_Sg	Love Song	Greatest Hits '93 - '03	311
ysNSvPH_dNc	Beautiful Disaster	Greatest Hits '93 - '03	311
QwkUYFWyTtw	I'll Be Here Awhile	Greatest Hits '93 - '03	311
ikHvz4zfZrw	Hold On Loosely	Flashback	38 Special
B6GdsRIbTSk	What's Up?	Bigger, Better, Faster, More!	4 Non Blondes
AyF6tH-O8eA	Meet You There	Youngblood (Deluxe)	5 Seconds Of Summer
s9ig4OzdAi0	Realest N*ggas	Bad Boys II	50 Cent
xKr6NK9XgfI	21 Questions (feat. Nate Dogg)	Get Rich Or Die Tryin	50 Cent
UXZDbsidKFY	Many Men (Wish Death)	Get Rich Or Die Tryin (Edited)	50 Cent
DtrIWQ8J9jw	In Da Club	Get Rich Or Die Tryin (Edited)	50 Cent
BXCP95VvZHA	In Da Club	Get Rich Or Die Tryin'	50 Cent
W5EqgS5eaVA	P.I.M.P.	Get Rich Or Die Tryin'	50 Cent
bene2oGCZ-o	21 Questions (feat. Nate Dogg)	Get Rich Or Die Tryin'	50 Cent
ztsVhTo3oXM	What Up Gangsta	Get Rich Or Die Tryin'	50 Cent
cRwrECWFeFM	Many Men (Wish Death)	Get Rich Or Die Tryin'	50 Cent
Jc7gJkVZS8Y	In Da Club	Get Rich Or Die Tryin'	50 Cent
rpr_AnXCWus	Many Men (Wish Death)	Get Rich or Die Tryin'	50 Cent
wuP7IuHEQpg	21 Questions (feat. Nate Dogg)	Get Rich or Die Tryin'	50 Cent
N3xU63cBj0U	P.I.M.P.	Get Rich or Die Tryin'	50 Cent
t-Ojya9W_gk	Life's on the Line	Guess Who's Back?	50 Cent
owiw_R_x_vM	Doo Wop Freestyle	Guess Who's Back?	50 Cent
