radio_playlist	like_playlist
ambient radio	ambient
ambient Indie Synths radio	ambient Indie Synths
ambient lynchian radio	ambient lynchian like
ambient modern radio	ambient modern like
ambient piano radio	ambient piano like
Beats Lofi radio	Beats Lofi
Beats indie Chill radio	Beats indie Chill
beats radio	beats
Bossa Nova radio	Bossa Nova
brass radio	brass like
electronic big beats radio	electronic big beats
electronic Dance radio	electronic Dance
electronic deep house radio	electronic deep house
electronic Deep Minimum radio	electronic
electronic Focus radio	electronic Focus
electronic frequencies radio	electronic
electronic House Special radio	electronic House Special
electronic Innerwaves radio	electronic Innerwaves
electronic radio	electronic
electronic soft pad radio	electronic soft pad
Folk radio	Folk
future beats radio	future beats
garage rock radio	garage rock
goth 1980s radio	goth 1980s
Grunge radio	Grunge
Hip Hop 1990s radio	Hip Hop 1990s
Hip Hop 2000s radio	Hip Hop 2000s
Hip Hop Hits radio	Hip Hop Hits
Hip hop It Was a Good Day radio	Hip hop It Was a Good Day
hiphop modern radio	hiphop modern
hiphop old school radio	hiphop old school
hiphop soul good vibe radio	hiphop soul good vibe
Hiphop southeast Ride Around Shining radio	hiphop 2000s southern
Indie 1990s Rock radio	Indie 1990s Rock
Indie 2000s radio	Indie 2000s
Indie dark side radio	indie
Indie Folk radio	indie folk
Indie Hazy Summer radio	Indie Mellow
indie loose live chill radio	indie loose
Indie radio	indie
jazz cool radio	jazz cool
jazz essential radio	jazz
Jazz Feels the Blues radio	jazz
jazz for spies radio	jazz
jazz gloom smooth radio	jazz gloom smooth
jazz guitar radio	jazz guitar
jazz ken burns radio	jazz
jazz library background radio	jazz funk cortex vibe
jazz radio	jazz
jazz Ted Gioia’s How to Listen to Jazz radio	jazz
jazz traditional radio	jazz
nudisco radio	nudisco
oldies 1950s radio	oldies 1950s
oldies 1960s radio	oldies 1960s
oldies doo wop radio	oldies doo wop
oldies Jukebox Vintage Party radio	oldies Jukebox Vintage Party
Oldies radio	Oldies
post rock slow core radio	post rock slow core
Post-Punk 1970s-1980s radio	Post-Punk 1970s-1980s
Produced by Dilla radio	Produced By Dilla
Produced by DJ Premier radio	Produced by DJ Premier
Produced by kanye radio	Produced by kanye
psychedelic classic rock radio	psychedelic classic rock
punk 1970s radio	punk 1970s
Reggae 1970 roots radio	reggae classic
Reggae Dub radio	Reggae Dub
Reggae radio	Reggae
rock 1950s roots radio	rock 1950s roots
rock 1967 Monterey Pop Festival radio	rock 1967 Monterey Pop Festival
Rock 1980s New Wave radio	Rock 1980s Pop New Wave
rock 1990s radio	rock 1990s
rock instrumentals classic vintage radio	rock instrumentals classic vintage
rock proto metal radio	rock proto metal
rock stoner sludge dank radio	rock stoner sludge dank
Shoegaze Nu radio	Shoegaze
Shoegaze radio	Shoegaze
soul 1960s radio	soul 1960s
soul radio	soul funk
Soul Classic Sunshine radio	Soul Classic Sunshine
Soul Food Kitchen radio	soul funk
soul motown radio	soul motown
trip hop radio	trip hop
triphop bristol sound radio	triphop bristol sound
xr 90shiphop radio	Hip Hop 1990s
xr ambientmusic radio	ambient
xr blues radio	blues
xr deephouse radio	electronic deep house
xr dub radio	Reggae Dub
xr ElectronicMusic radio	electronic
xr folk radio	Folk
xr frenchhouse radio	electronic house french touch
xr funkhouse radio	electronic house funk
xr futurebass radio	future bass
xr GypsyJazz radio	jazz gypsy
xr hiphop radio	hiphop
xr hiphopheadsnorthwest radio	hiphop
xr indie radio	indie
xr IndieFolk radio	indie folk
xr jazz radio	jazz
xr jazzyhiphop radio	hiphop jazzy
xr jazznoir radio	jazz noir
xr krautrock radio	rock krautrock
xr NewWave radio	Rock 1980s Pop New Wave
xr nudisco radio	nudisco
xr OldiesMusic radio	Oldies
xr PostRock radio	post rock slow core
xr reggae radio	Reggae
xr triphop radio	trip hop
xr witch-house radio	electronic witch house
xr witchHouse radio	electronic witch house
zp kanye radio	zp kanye
zp DJ Premier radio	zp DJ Premier
