videoId	title	album	artist	likeStatus
L-jxuQSp0qA	Give You Up [Darius Remix]	Crayon - Give You Up	Crayon	
VZYVlotCA0Q	Masego - Wifeable | Choreography by Scott Forsyth | EAC17		Dance Originals	
zxUK9QOz4eM	Don't Do Drugs	Take Care of Business	Danger Mouse & Jemini The Gifted One	
cQ_ze7t0OQ4	Am I Evil?	Lightning To The Nations (The White Album)	Diamond Head	
wr8ZUWEgesQ	Tears in Heaven (Acoustic) [Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992]	Unplugged	Eric Clapton	
ZUf1e2zUx4k	Hey Hey (Acoustic) [Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992]	Unplugged	Eric Clapton	
5W0xZSezRfk	Layla (Acoustic) [Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992]	Unplugged	Eric Clapton	
s14D3xokDSo	Malted Milk (Acoustic) [Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992]	Unplugged (Deluxe Edition)	Eric Clapton	
I_czrTTvT6U	Walkin' Blues (Take 1) [Acoustic] [Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992]	Unplugged (Deluxe Edition)	Eric Clapton	
v8vqqqM_Ilg	Dying Punch	Floating Version	Floating Action	
ob9N6FGDPUE	Breakdown (feat. Jack Johnson)	White People	Handsome Boy Modeling School	
BkEPBiMbgxs	jimi hendrix little wing		Harry Loman	DISLIKE
7Kbeo1TuevI	Wasted Youth	Gazebo	Jack Harlow	
VV27w40Yksg	Midnight Mischief	Midnight Mischief	Jordan Rakei	
7jTli3AOCpk	It's a Moot Point	It's a Moot Point	Melanie Faye	
BX_hhf2GEHk	Vem Mae Natureza	Vem Mae Natureza	Mose & The Hanuman Project	
0Zsy_8Jm7qg	Replica	Replica	Oneohtrix Point Never	
V-YZLKWShiY	Time Decanted	Rifts	Oneohtrix Point Never	
A7BkabF31ak	the Microphones - Microphones in 2020		P.W. Elverum & Sun	
Y3z_Tl4gnUU	GMO Hoes	Raw Fruit Vol.2	Ras G	
VW6Ru3Tl_00	The Yes Strut	Teams Vs. Star Slinger	Teams & Star Slinger	
sDMSZVLbbwY	Bitchin' Camaro	Big Lizard In My Back Yard	The Dead Milkmen	
Ovd63oJnTFY	Bobby Brown	Strapped	The Soft Pack	
AEU47_C7ODE	No Sayers	Famous Last Words	The True Loves	
_G2lulPABEM	Philanthropist	Indigoism	The Underachievers	
v1S1X_2qwUA	Gold Soul Theory	Indigoism	The Underachievers	
jwItX1w8fUo	What You Need	Trilogy	The Weeknd	
SySHVlMbE4k	Last Song	Eternal Hits	Traffic Sound	
y7Cge-5IoGA	Virgin	Eternal Hits	Traffic Sound	
CMjZMOh3sco	Chicama Way	Eternal Hits	Traffic Sound	
5DstsPF-4kM	Promises	Waxing Romantic	Travis Bretzer	
P4qLiI4c4O0	Story Book	Waxing Romantic	Travis Bretzer	
12zcWVWAKrA	Lady Red	Waxing Romantic	Travis Bretzer	
RiEKEeDzJmo	Wishing Away	Waxing Romantic	Travis Bretzer	
TDLvW4jOSWA	og sx live sesh	pook	bsd.u	
rq7xS4PUMMo	i jus been chillin dude	pook	bsd.u	
oAJVSB05_bg	Sun City Girls － The Vinegar Stroke		tgmsk3483	
