title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Yakety Yak (2007 Remaster)	The Coasters	There's A Riot Goin' On: The Coasters On Atco	LIKE	epCN0f7FTIY	MPREb_fCBJ4B4pMVm	UCpgE45UhoSDJ6na4UP4KEQw	oldies 1950s
Love Potion No. 9	The Clovers	The Ultimate Doo Wop Collection - 101 Classic Doo Wop Tracks	LIKE	BDNyn3N9y8c	MPREb_HZ7kS18LyqQ	UCZa0x7mAjn3ytlZcPYjr96Q	oldies 1950s
Wonder Where My Baby's Gone	The Clovers	Down In The Alley: The Best Of The Clovers	LIKE	YUJ260eRbo8	MPREb_XnkvhbQ91nS	UCZa0x7mAjn3ytlZcPYjr96Q	oldies 1950s
Fool Fool Fool	The Clovers	Down In The Alley: The Best Of The Clovers	LIKE	KQHJ4bpHfF8	MPREb_XnkvhbQ91nS	UCZa0x7mAjn3ytlZcPYjr96Q	oldies 1950s
Mr. Sandman	The Chordettes	Mr. Sandman	LIKE	SmcPp1tNm-4	MPREb_dWvPH3KLGO1	UCbN48WfBpHTGcj4yxl8Revg	oldies 1950s
Maybe	The Chantels	Doo Wop Classics Vol. 1	LIKE	3eTTwd9ncVk	MPREb_xnP7nhy7fO8	UCT22akgKCP2QVhha1nrAM7A	oldies 1950s
Tequila	The Champs	Tequila	LIKE	U_JFLb1IItM	MPREb_GlD5rM0gSjm	UCc47Uy2mCfkT1GoWT-Lp-3w	oldies 1950s
Chantilly Lace	The Big Bopper	Chantilly Lace	LIKE	8fX4rxe9T3o	MPREb_zO1ytZS8u14	UCawswvQFL-PUJy_GSlR_N_A	oldies 1950s
Please Mister Postman (Remastered 2009)	The Beatles	With The Beatles (Remastered 2009)	LIKE	v2Kk5IG2b8E	MPREb_cfiGXKbRGXM	UC2XdaAVUannpujzv32jcouQ	oldies 1950s
Lucy In The Sky With Diamonds (Remastered 2009)	The Beatles	Sgt. Pepper's Lonely Hearts Club Band	LIKE	naoknj1ebqI	MPREb_MlGHASFrLIn	UC2XdaAVUannpujzv32jcouQ	oldies 1950s
Anna (Go To Him) (Remastered 2009)	The Beatles	Please Please Me	LIKE	b3zNKWyLfus	MPREb_EB1GQowDeAh	UC2XdaAVUannpujzv32jcouQ	oldies 1950s
Please, Please, Please	The 5 Royales	Think	LIKE	zj3CYyd35Vo	MPREb_mVltpH3J7bX	UC5Yj9mCR7oCbZBFK9VaPpIw	oldies 1950s
Sixteen Tons	Tennessee Ernie Ford	Country Gold - 101 Classic Tracks	LIKE	QKOL8XehVSg	MPREb_CrvS0EP5SEH	UCj-6cJdvG3gtgW1gEqCHjaQ	oldies 1950s
Young Love	Tab Hunter	1950's Jubilee Hits Vol 1	LIKE	JL_rpaWuk5U	MPREb_5K02XxP43Pm	UCrbKnWfFB3hJ2yf67ItHASw	oldies 1950s
Young Love	Sonny James	The Sonny Side	LIKE	gszRo1r0HIQ	MPREb_EiqZhl0REc8	UCuVlmbbtihaOFRFLI2dKVWQ	oldies 1950s
Help Me	Sonny Boy Williamson II	45 Blues Hits	LIKE	deVkwsKH5no	MPREb_qXiooBf6FtN	UCWEMaF6bf_6V2swH692S1EQ	oldies 1950s
Cry to Me	Solomon Burke	Beg, Scream & Shout!: Vol. 2	LIKE	HftkvNDkDdA	MPREb_lEcAINdWXOO	UCwIioEkBeMVDvsq0i6o5nvw	oldies 1950s
