title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Rained the Whole Time (Nicolas Jaar Remix)	Shlohmo	Vacation - EP (Remixes)	LIKE	4or_kF-SKa8	MPREb_vuuRP30z4jM	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
The Way U Do	Shlohmo	Vacation	LIKE	XLQ7zw2hDgA	MPREb_8845GDPscJ1	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Rained the Whole Time	Shlohmo	Vacation	LIKE	1HgoTSCqk4A	MPREb_8845GDPscJ1	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Without	Shlohmo	Laid Out - EP	LIKE	irEo3XFgHcM	MPREb_k3YkwLC7ksg	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Put It	Shlohmo	Laid Out - EP	LIKE	cuITdFixRYA	MPREb_k3YkwLC7ksg	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Slow Descent	Shlohmo	Dark Red	LIKE	JECC1JX3ICU	MPREb_npgcvne7U0a	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Emerge From Smoke	Shlohmo	Dark Red	LIKE	ywcNIgdA0t8	MPREb_npgcvne7U0a	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Buried	Shlohmo	Dark Red	LIKE	9nCL_DQNduU	MPREb_npgcvne7U0a	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Apathy (feat. D33J)	Shlohmo	Dark Red	LIKE	ykpuGXfJY2o	MPREb_npgcvne7U0a	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Big Feelings	Shlohmo	Bad Vibes	LIKE	UHsH9w4FN3Q	MPREb_UwOf098Z76E	UCnCEHQJ4sNkIkkqsPp9u-Ag	electronic Underjord
Detroit Part 1	Shigeto	No Better Time Than Now	LIKE	TKqEQ2pKjSM	MPREb_14M1X1Jwkju	UC9HVpucaFBCEw2C7y15v2CQ	electronic Underjord
Days Like This	Shanti Celeste	Days Like This	LIKE	be7hHxSKy2Q	MPREb_xGnd05xz8N1	UCDegcq5K4ZSpjhbjqs2Yevw	electronic Underjord
The One	Sepalcure	Sepalcure	LIKE	kpoF8JrGCOo	MPREb_wczQUCnasRr	UCST8vBCPIaYOPuUxXsCz3hQ	electronic Underjord
