videoId	title	album	artist
N3LluT6gj5o	Round and Round	Round And Round	Ariel Pink's Haunted Graffiti
2O-0Bbeoh0I	Rock Crazy Baby	Jukebox Hits for You and Me, Vol. 2	Art Adams
IbThUy6xaLY	Bruit, silence - Bruit, repos	Symphonie pour le jour où brûleront les cités	Art Zoyd
b9nqRUsMnAs	Gloomy Sunday	The Masters of Jazz: 33 Best of Artie Shaw & Ben Webster	Artie Shaw
9BhsTTftWno	Endless Skies	Endless Skies	Ashbury
GWXpkzQSTIw	Nefi + Girly	Citrus	Asobi Seksu
Kioo8sY38gY	Me & Mary	Me & Mary	Asobi Seksu
jmsqx6rbLaw	Trails	Trails	Asobi Seksu
G2doN4kZRio	Strings	Citrus	Asobi Seksu
js6jUlD3l90	New Years	Citrus	Asobi Seksu
NrO0xvCPc-k	Bob Dylan's 115th Dream	Subterranean Homesick Blues: A Tribute to Bob Dylan's 'Bringing It All Back Home'	Asobi Seksu
uqwR8QKXch8	Place With You	Mind Out Wandering	Astronauts, etc.
-hmgMJBPMSE	Here's That Rainy Day	So Nice	Astrud Gilberto
oyj_KJUKhUs	Not Guilty	Hulet	Aswad
q4IM5vY-JEQ	I A Rebel Soul	Aswad	Aswad
-W3mIFhEFmc	Imaginary Lover	Champagne Jam	Atlanta Rhythm Section
3l4BC3h4Z1Y	Always Coming Back Home To You	Seven's Travels	Atmosphere
Z0RTstVkmB0	Your Glass House	When Life Gives You Lemons, You Paint That Shit Gold	Atmosphere
gStAmd6PtfQ	Golden Hour	Golden Hour	Attom
BMU1L5_q9Vg	Only You	Only You	Attom
fSy21-kgiY0	Ashes	Ashes	August Eve
45cChGoNtkY	Let Go, It's Over	Magic Lover / Let Go, It's Over	Aura
aVTfhz7ZAJI	Are You Single?	Send Your Love	Aurra
Wu50AWC4oLY	I Am Not Waiting (Shura Remix)	I Am Not Waiting (Shura Remix)	Austra
5Amux8FK-gs	Piezo	Amber	Autechre
8Wz5063mkYw	Running	Running	Autograf
YgUqEF2GDpw	Counting	Anxiety	Autre Ne Veut
Gr7QNHiaEno	Gonna Die	Anxiety	Autre Ne Veut
1UDJ1yXG8o4	Levels	Workout 2019	Avicii
y7D6Bwh39tI	Everybody Bounce	Straight from Tha Zone	Aztec Tribe
uJ6JPsC1EvQ	City 2 City	The Hemp Museum	B-Legit
ze3hJUbTGiw	A Quiet Life	Rosebuds	B-Side
8sbOgthqJ5Y	Hold On (I Feel Our Love Is Changing) (feat. The Crusaders)	Midnight Believer	B.B. King
O4yGqS0GOj0	Don't You Lie To Me	King Size	B.B. King
S3BQZCQ9A2I	Get a Lil' Stupid (Extended Version)	Get a Lil' Stupid	B.M.W.
ewyu4dIVj-8	My Maria	My Maria	B.W. Stevenson
xfrb0ItD_4c	Gimme	Gimme	BANKS
fTHXCcwhrn8	Drowning	Goddess (Deluxe)	BANKS
YI4lXEBj0EM	Rutas Circulares	Kwalia	BFlecha
0IcMGxtpLp0	Raindrops Keep Fallin' on My Head	BJ Thomas: Greatest Hits	BJ Thomas
BA2K5BWZWA8	Lakeside	After Robots	BLK JKS
yUzh9-P428E	Standby	After Robots	BLK JKS
2rvb5XUysDg	Eureka	Double Rainbow	Babe Rainbow
1A2pO8YODYM	Ready for Tomorrow	Ready for Tomorrow	Babe Rainbow
XON5kVxHBYA	Bruise Violet	Fontanelle	Babes In Toyland
_4gelHo_QbA	Sweet '69	Nemesisters	Babes In Toyland
WG4AG36zDxM	What Becomes of the Brokenhearted (Single Version)	Breakfast In Bed: Rare Soul Sides	Baby Washington
YorQcjtaXpY	You Ain't Seen Nothing Yet	70s Rock	Bachman-Turner Overdrive
yqzseL-KocM	You Ain't Seen Nothing Yet	70's Pop Number 1's	Bachman-Turner Overdrive
sbpf7upzrYs	Four Wheel Drive	Four Wheel Drive	Bachman-Turner Overdrive
dDyAyocNr70	Joshua's Song	Rock For Light	Bad Brains
XQejWOArRAw	Rock for Light	Rock For Light	Bad Brains
5sWcHr8EILw	I	Rock For Light	Bad Brains
ul4bMqAbLJs	Attitude	Bad Brains	Bad Brains
dFq4kvDmxls	I	Bad Brains	Bad Brains
1IhIRppQYDg	Coptic Times	Rock For Light	Bad Brains
Inoi8_viDyI	Attitude	Rock For Light	Bad Brains
5EIZ6f86S2E	Remember When	Disobey	Bad Wolves
