videoId	title	album	artist
sy_LiNP3d1A	How Long	How Long	Black Roots
4g_Yk6eKlwk	Symptom Of The Universe (2021 Remaster)	Symptom Of The Universe (2021 Remaster)	Black Sabbath
5FRA7UXlGu8	Heaven and Hell (2021 Remaster)	Heaven and Hell (Deluxe Edition)	Black Sabbath
-GUltDT6U-M	Rat Salad (2012 - Remaster)	Complete Studio Albums (1970-1978)	Black Sabbath
60tFqmQg0GQ	Heaven and Hell (Live) [2000 Remaster] (Live; 2000 Remaster)	Live Evil (2008 Remaster)	Black Sabbath
mJCHsoP9B5o	Die Young (2021 Remaster)	Heaven and Hell (Deluxe Edition)	Black Sabbath
SgmDmTdFa9g	Boom Boom	Amigo	Black Slate
DZ7dlo3PWhk	Twice Inna Lifetime	Mos Def & Talib Kweli Are Black Star	Black Star
2gkmDWEKY9k	Black Car	Black Tambourine	Black Tambourine
dk5_kSbhLBs	Brutal	Brutal	Black Uhuru
YJQwv-IOIss	Conviction or a Fine	Brutal	Black Uhuru
-GTFyF1u5i4	Great Train Robbery	Brutal	Black Uhuru
7EHP4pSV54U	Come to the Sabbat	See's the Light of Day	Black Widow
Ewr8IRv0FNk	Crackle Blues	Lata / Crackle Blues (Original + Burial remix)	Blackdown
NnN_Oz1U0RE	Train, Train	Strikes	Blackfoot
iRBqvZz1-zk	I Got a Line on You	Strikes	Blackfoot
5gvhA40u42U	Running Wild	50 Rockabilly 1950s Teenage Classics	Blackie Starks
NjbdXZxffFI	Spirit of Life	Miracle	Blackmill
kOITIXQc2TM	Let It Be (feat. Veela)	Miracle	Blackmill
ZtFOihoXOtk	They Don't Know	They Dont Know	Blak Ryno
yxVVnkixA0I	Hive Mind	World Eater	Blanck Mass
hs-Uqsyu3sg	Please	World Eater	Blanck Mass
9fUwgk-Kwpo	Game Above My Head	Mange Tout (Deluxe Edition)	Blancmange
fyiZjmrdzXo	Run to the Waves	Run to the Waves	Blaque Trumpet
-1bHQ3C4wGE	Black Snake Moan	See That My Grave Is Kept Clean	Blind Lemon Jefferson
bRpUBd8cBxQ	Broke and Hungry	Blind Lemon Jefferson	Blind Lemon Jefferson
bhxycqHQKXg	Black Snake Moan	Snake Songs	Blind Lemon Jefferson
BD2Hx39RSCE	All I Want Is That Pure Religion	Blues on the Bayou, Vol. 2	Blind Lemon Jefferson
SFvCRmHZDUE	Sur Le Borde De L'Eau (On the Water's Edge)	Early American Cajun Music: Classic Recordings From the 1920's	Blind Uncle Gaspard
ySlkYopTAJ4	Church, I'm Fully Saved Today	Blind Willie Johnson	Blind Willie Johnson
wJ0Nnia9J5k	Church, I'm Fully Saved Today	The Essential Blind Willie Johnson	Blind Willie Johnson
vKV0ZEjg3_A	Church, I'm Fully Saved Today	The Complete Blind Willie Johnson	Blind Willie Johnson
K9MXNWTVb28	Statesboro Blues	The Best Of Blind Willie McTell	Blind Willie McTell
zvG89wA4IFc	Kind Mama	The Ultimate Collection	Blind Willie McTell
PuAJQ34u75M	Lover Leave Me Drowning	Destroyer Of The Void	Blitzen Trapper
fngVDIBJVdc	I Don`t Want U	Blonde Redhead	Blonde Redhead
RP07mgF7E40	Here Sometimes	Penny Sparkle	Blonde Redhead
OOL-9QAn9HY	One Way Or Another (Live)	Picture This Live	Blondie
F2U2BmJ9m-Q	Dreaming	The Best Of Blondie	Blondie
rSI7wFfsHV8	Picture This	Parallel Lines	Blondie
j0QhNKorXpY	Dreaming	Dreaming	Blondie
7VWalYqwKIA	Sunday Girl	Greatest Hits	Blondie
WHsH_XLn-Zk	Rip Her To Shreds	Blondie	Blondie
3UpVFvbKUbw	Wish	Four Songs	Blood Orange
4sI5emBFLiY	An Animal	Blood Red Shoes	Blood Red Shoes
DPQ_GdtrgyQ	Sometimes in Winter	Blood, Sweat & Tears (Expanded Edition)	Blood, Sweat & Tears
UVGosMwjS5c	Go Down Gamblin' (Single Version)	Greatest Hits	Blood, Sweat & Tears
CIkPOhWS6fg	Kiss Me Where It Smells Funny	One Fierce Beer Coaster	Bloodhound Gang
xMpz6wLj9yA	Steady Dippin'	Bangin on Wax	Bloods & Crips
AA0iti5Hfog	Feel the Heat	Party	Bloodstone
2MM-z3HwS6c	Someone To Watch Over Me	My Gentleman Friend	Blossom Dearie
hSGc_lHjz4k	The Remarkable Saga Of The Frozen Dog	We Are Ever So Clean	Blossom Toes
cfgf1LSqeb4	When The Alarm Clock Rings	We Are Ever So Clean	Blossom Toes
h4LaOHw2Tj4	All That Blue	Open Reduction Internal Fixation	Blue Hawaii
IeC3bJoilhc	Clean up Your Act	Magic #	Blue Magic
FmC7N6lmTOI	Veteran of the Psychic Wars (Live at Hollywood Sportatorium, Pembroke Pines, FL - October 1981)	Extraterrestrial Live	Blue Oyster Cult
jUwh-C5w7II	Veteran of the Psychic Wars	Fire of Unknown Origin	Blue Oyster Cult
T72-ccjq5wE	This Ain't the Summer of Love	Agents Of Fortune	Blue Öyster Cult
IBwSuqsH_sI	Hot Rails to Hell	Tyranny And Mutation	Blue Öyster Cult
u1_wTwuHPzU	E.T.I. (Extra Terrestrial Intelligence)	Agents Of Fortune	Blue Öyster Cult
POcbY0NTG9w	Near Dark	Bluewerks Vol. 4: Drift Off	Bluewerks & Arbour
FK66zcmYJGk	The Great Grandfather	Go Bo Diddley	Bo Diddley
wP5kf21eG4I	Bring It to Jerome	Hey, Bo Diddley	Bo Diddley
fm2HWD5UuwA	Bring It To Jerome	Bo Diddley	Bo Diddley
6bZyk5mixXk	Harlem Shuffle	Harlem Shuffle	Bob & Earl
HyyL2ADek3s	Harlem Shuffle	Harlem Shuffle	Bob & Earl
w8KLx3owWIE	The Cheater	The Northern Soul Story Vol.1: The Twisted Wheel	Bob Kuban & The In-Men
yZA4eTtNJFk	The Cheater	Summer Souvenirs	Bob Kuban & The In-Men
9KYj7umGB5U	Cherokee Dance	The Specialty Story	Bob Landers
COllI46BPEY	Them Belly Full (But We Hungry)	Natty Dread	Bob Marley & The Wailers
NuT8ZbqGyCk	Jah Live	Rastaman Vibration	Bob Marley & The Wailers
FD4lzR5yxjo	Smile Jamaica	Iron Lion Zion	Bob Marley & The Wailers
DgeG1xNR1Qg	War	Rastaman Vibration	Bob Marley & The Wailers
rw3kP3JiPDs	Talkin' Blues	Natty Dread	Bob Marley & The Wailers
xsQG2cmLt4I	Jah Live	Rastaman Vibration	Bob Marley & The Wailers
QRcJnjw9z3A	Ambush In The Night	Survival	Bob Marley & The Wailers
ACIYuW91Zms	No Woman No Cry	Natty Dread	Bob Marley & The Wailers
pjevvwukMTE	So Much Things To Say	Exodus 40	Bob Marley & The Wailers
5Ja2D7Es2lA	What Am I Suppose to Do	The Wailing Wailers at Studio One	Bob Marley & The Wailers
r_KN7WJCH5A	Rat Race	Rastaman Vibration	Bob Marley & The Wailers
2T59Hu0ZtpU	Time Will Tell (Kaya 40 Mix)	Kaya (40th Anniversary Edition)	Bob Marley & The Wailers
mavExUVBL4g	Johnny Was	Rastaman Vibration	Bob Marley & The Wailers
RlUTVDAv8Q8	Cry To Me	Rastaman Vibration	Bob Marley & The Wailers
oIIk3mmfpt0	This Train	Bob Marley Vol. 2: Picture On The Wall	Bob Marley & The Wailers
_7oSCVxcbow	Nice Time	Keep On Moving: Trilogy	Bob Marley and The Wailers
WNCBPg33GVs	The Mummy	Lost Halloween	Bob McFadden & Dor
