	title	artist	album	likeStatus	videoId	albumId	artistId
177	Shake Everything You´ve Got	Maceo Parker	Life on Planet Groove	INDIFFERENT	AyCAl0LbwRY	MPREb_hjvsIDxtLiO	UCNhCHiC4V4d7ry98iDhPyJg
91	Lost & Found	Lianne La Havas	Is Your Love Big Enough?	INDIFFERENT	zQAkR7epTcM	MPREb_qStCZuqPqFX	UCvps3soFaHEZy5Yx0aatUlA
94	Say a Little Prayer (Live)	Lianne La Havas	Say a Little Prayer (Live)	INDIFFERENT	acyoBqlDrK8	MPREb_txBllJHTt7v	UCvps3soFaHEZy5Yx0aatUlA
139	Unstoppable	Lianne La Havas	Blood	INDIFFERENT	zfqe3COLDY8	MPREb_RcqIPmMXTDX	UCvps3soFaHEZy5Yx0aatUlA
13	Ex-Factor	Lauryn Hill	The Miseducation of Lauryn Hill	INDIFFERENT	r3p3G0tZunE	MPREb_qYhF5ZzV2ws	UC3j9UpJkGNY9GDm3EdbEiVA
26	Yo Soy Como Soy	La Lupe	Dance With The Queen	INDIFFERENT	KBoL3vCq4tg	MPREb_wwi3oGDzKtj	UCxONd5Ykmbwwl_VjcOM1YxA
41	Besito Pa Tí	La Lupe	One Of A Kind	INDIFFERENT	KrQ18mojc8o	MPREb_V932lzL3bzq	UCxONd5Ykmbwwl_VjcOM1YxA
166	Como Acostumbro	La Lupe	That Genius Called The Queen	INDIFFERENT	dAoHQH6Et3M	MPREb_tZCzOIZIEAI	UCxONd5Ykmbwwl_VjcOM1YxA
167	Fever	La Lupe	Reina de la Canción Latina	INDIFFERENT	cWpvek57P_I	MPREb_3MzFTHTi2s5	UCxONd5Ykmbwwl_VjcOM1YxA
168	La Reina	La Lupe	La Lupe Es La Reina (The Queen)	INDIFFERENT	BMaOFLEBOKw	MPREb_Pb85JPt4g13	UCxONd5Ykmbwwl_VjcOM1YxA
169	La Tirana	La Lupe	Reina de la Canción Latina	INDIFFERENT	YTuFy1aF9HY	MPREb_3MzFTHTi2s5	UCxONd5Ykmbwwl_VjcOM1YxA
170	Maldito Seas	La Lupe	The Two Sides Of La Lupe	INDIFFERENT	TR9g_v8qmXs	MPREb_aIbMdMhuxdd	UCxONd5Ykmbwwl_VjcOM1YxA
171	Me Siento Guajira	La Lupe	La Lupe Es La Reina (The Queen)	INDIFFERENT	eNMHESF40Sw	MPREb_Pb85JPt4g13	UCxONd5Ykmbwwl_VjcOM1YxA
173	Puro Teatro	La Lupe	La Lupe Es La Reina (The Queen)	INDIFFERENT	i1gf4vqse54	MPREb_Pb85JPt4g13	UCxONd5Ykmbwwl_VjcOM1YxA
174	Te Voy A Contar Mi Vida	La Lupe	The Two Sides Of La Lupe	INDIFFERENT	zIFI23GdaQM	MPREb_aIbMdMhuxdd	UCxONd5Ykmbwwl_VjcOM1YxA
175	That's The Way It's Gonna Be	La Lupe	La Lupe Es La Reina (The Queen)	INDIFFERENT	tR9EgopLjyw	MPREb_Pb85JPt4g13	UCxONd5Ykmbwwl_VjcOM1YxA
