	title	artist	album	likeStatus	videoId	albumId	artistId
10	Morning Light	Daggerss	Morning Light	INDIFFERENT	SkTccpUXVwk	MPREb_mifcpm7DsQQ	UC5cHilAJYbfOW0mN0llaMcw
252	Like Breaking Glass	Cut Copy	Like Breaking Glass	INDIFFERENT	3YgvAMoNvbU	MPREb_qqlGdqlJXLv	UClL93XdC3tpplPnpwhL0cfQ
270	Be Your Man	Cub Sport	LIKE NIRVANA	INDIFFERENT	5U-Ljyh6_KU	MPREb_XQ91VCS0Q34	UCZDr8mIQPYfE3o6uKXoWp5Q
111	Depreston	Courtney Barnett	Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)	INDIFFERENT	aKAA1Y2Bu-4	MPREb_r4cMaqqeFSU	UCAR6fZVOSmnctDecWdS9rtQ
239	Sons	Concorde	Floating There	INDIFFERENT	ToN6iF-G-lo	MPREb_HXGehvso7zb	UC1t6vA3LK_4QJ37ySpg7qSA
272	Fuoritempo	Colombre	Pulviscolo	INDIFFERENT	230b3OY1H2c	MPREb_ZrBrEIhzdAz	UCRJA1YMLnI9dDEjG6LiI-FA
72	Hospital Beds	Cold War Kids	Robbers & Cowards	INDIFFERENT	7k91k6ClZec	MPREb_oV9jp4yzvN5	UCWHNwgzlUieH_IxRnt9_YPg
112	Sesame Syrup	Cigarettes After Sex	Crush	INDIFFERENT	YgzHM5w4x0k	MPREb_9xEzWwRLQmE	UCIMuwfTAzgZ5Dg84TmYxYkA
121	Come Alive (feat. Toro Y Moi)	Chromeo	White Women	INDIFFERENT	Tvu95VwQp-g	MPREb_OhaKVwEdviU	UC1ctBJpXnWNRmDNrfIvRH4A
151	Rowdy Friends	Choir Boy	Rowdy Friends	INDIFFERENT	AAIEwMKB8wE	MPREb_Oz8SIXrWn7L	UCcXatQnUt3jKK9No2s_t68A
255	Toxic Eye	Choir Boy	Gathering Swans	INDIFFERENT	SBfJJPN88tc	MPREb_Hbzti2iU7ph	UCcXatQnUt3jKK9No2s_t68A
123	Bummed (feat. Alison Wonderland)	Chet Porter	Bummed	INDIFFERENT	eGojRr2CQ3I	MPREb_ZBEEdkasPzp	UC_Lu1vmvcyvf4-S8GAysjFw
263	Boys	Charli xcx	Boys	INDIFFERENT	IERfs2JOO7A	MPREb_qhHADTpQ7iQ	UCI4YNnmHjXFaaKvfdmpWvJQ
230	Kathleen	Catfish and the Bottlemen	The Balcony	INDIFFERENT	fr_xYa12RM0	MPREb_dXiN1crSzzR	UCjV4ZrPmJ19TtUzGscyEZMw
65	Ocean of Tears	Caroline Polachek	Pang	INDIFFERENT	VrRDdh4thLk	MPREb_OX29mdmEgnj	UCW4rB5Nfy2mWmwoibRUT15Q
79	So Hot You're Hurting My Feelings	Caroline Polachek	Pang	INDIFFERENT	MR8Sozpt95c	MPREb_OX29mdmEgnj	UCW4rB5Nfy2mWmwoibRUT15Q
164	Bodys	Car Seat Headrest	Twin Fantasy	INDIFFERENT	fpJLmnKVGj8	MPREb_uHqhqEkLRa4	UC97xosBrQZ7jdWVFInndIDg
69	Miracle	CHVRCHES	Love Is Dead	INDIFFERENT	iRoi6n35ITk	MPREb_bNPZyBLERbJ	UCvInFYiyeAJOGEjhqJnyaMA
236	Leave a Trace	CHVRCHES	Every Open Eye (Special Edition)	INDIFFERENT	KXJlBWj9w2k	MPREb_1bPiBByM9Qv	UCvInFYiyeAJOGEjhqJnyaMA
278	The Mother We Share	CHVRCHES	The Bones of What You Believe (Special Edition)	INDIFFERENT	Nt7JvRcFuXQ	MPREb_VfaVxAI9Oog	UCvInFYiyeAJOGEjhqJnyaMA
4	Plastic Love	CHAI	Plastic Love	INDIFFERENT	pTcInNju610	MPREb_VDsZwBwpQeo	UCvvmXmIVYQmlzj8ntRMZKWg
284	Wifi Beach	Brijean	Feelings	INDIFFERENT	0PgnwWFpaNE	MPREb_cc3dmnWPMyu	UCCVMUjsbsmRg_vpC2XtcZ8Q
279	When The President Talks To God	Bright Eyes	When The President Talks To God	INDIFFERENT	NFg6vjeVEIk	MPREb_iDiKYcqVL2F	UCPI3znNhox-PTRPvpYFNCDw
92	Needle	Born Ruffians	Birthmarks	INDIFFERENT	Lw8OGbmVMec	MPREb_3csnUIydWEb	UCvJKrU4_oCdUKts7sh8WIOQ
31	To The Bone	Bombay Bicycle Club	To The Bone	INDIFFERENT	p4zEfOlid2s	MPREb_f6KuDR15slt	UC8BTMkXw4NFNex42ExZUT8g
67	Carry Me	Bombay Bicycle Club	So Long, See You Tomorrow	INDIFFERENT	xGQ_fLxfwn0	MPREb_YGyGUXAX2CH	UC8BTMkXw4NFNex42ExZUT8g
