title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Dynasty	Pen Pals	Dynasty	INDIFFERENT	s0rPfFh_Sh0	MPREb_yCuFMPylvVR	UCWUCHaZM-ns3YCxsgTAOmKQ	soul kings and queens radio
Slow Down	Oya Noire	Oya Noire	INDIFFERENT	2juS7Jr7EOg	MPREb_r8KEecW58D5	UCPqwxo1oIhbsHl4fqhpGZNw	soul kings and queens radio
concrete	Orion Sun	Getaway	INDIFFERENT	Q23hkMK9ZAs	MPREb_uz6zNHmMEpg	UCQmvjWGnAjylhaQtFMOul7w	soul kings and queens radio
Gave My Heart / Its so Interlood (feat. Leon Ware)	Omar	Love in Beats	INDIFFERENT	Wc4ID2pvPUQ	MPREb_oTJfr7k9QYy	UComWNbY0L07lt0UW4wKGzTw	soul kings and queens radio
I Know Now (2003)	Ojerime	4U	INDIFFERENT	ssKjKO6xS_g	MPREb_bB9ryIJRv1T	UCzqs5Qz4nAffkf_8EA9xamQ	soul kings and queens radio
Sango	OSHUN	Sango	INDIFFERENT	9fJ5Llc521c	MPREb_O09S1jda4mD	UCt__VegVsffmgNEMLkebrpQ	soul kings and queens radio
Don't Forget about me	Noname	Room 25	INDIFFERENT	QgN_4FFFaJg	MPREb_voV9Brwg5fY	UCiEwTiqB_uJ0X0HskJI1cdQ	soul kings and queens radio
Rainforest	Noname	Rainforest	INDIFFERENT	4a9mXpKn924	MPREb_oAcuqrPwADM	UCiEwTiqB_uJ0X0HskJI1cdQ	soul kings and queens radio
Soulflower	Noah Slee	Soulflower	INDIFFERENT	33ihKSsdolo	MPREb_7grpXro228F	UCaz0WpHCDoZ4cc68-AXcZ6A	soul kings and queens radio
Strawberry	Nicole Renee Harris	Nicole Renee	INDIFFERENT	bNzb_EMKm-4	MPREb_KIt18yX48jV	UChDWU4eC4Ix83dzuGgHuELA	soul kings and queens radio
Breeze	Naomi Sharon	Breeze	INDIFFERENT	dn2DMctOheo	MPREb_u4CORQlALgl	UCeqbUnESukqJ2YI3My1mYhw	soul kings and queens radio
Adore You (feat. Abhi Dijon)	Nao	For All We Know	INDIFFERENT	oCgQK2SUM3M	MPREb_iSE4EYyp3Dq	UCaorJC4tN_tI0SWqXO5EMhg	soul kings and queens radio
Guarding The Gates (From 'Queen & Slim: The Soundtrack')	Ms. Lauryn Hill	Guarding The Gates (From 'Queen & Slim: The Soundtrack')	INDIFFERENT	yG_JfVAOifA	MPREb_TOrfxHFvrQM	UC3j9UpJkGNY9GDm3EdbEiVA	soul kings and queens radio
Hideaway	Moonchild	Voyager	INDIFFERENT	AIhTcPuwuz8	MPREb_imWlg6KKaCV	UCvuuCWOqlcju9NGZDu30RHA	soul kings and queens radio
Too Much to Ask	Moonchild	Little Ghost	INDIFFERENT	NIoVAPHy0BY	MPREb_IYU1He4172L	UCvuuCWOqlcju9NGZDu30RHA	soul kings and queens radio
2	Mom Tudie	2	INDIFFERENT	bB38DpsoGi4	MPREb_RLuvFOiMYP5	UCbiO6yHDOoCjLJ_0f4Xx2Eg	soul kings and queens radio
Wildflower	Moise	Wildflower	INDIFFERENT	tgR93E-AUhc	MPREb_BJwwTMbMTRK	UCeMc1QUixSn_l755Hg1sovw	soul kings and queens radio
Make Room	Miraa May	Care Package	INDIFFERENT	n_sElqTut-Y	MPREb_LQGwY5IQTrg	UC1K2JRvHdJ5LylB_aS8EhHQ	soul kings and queens radio
Sandstorm (feat. JID)	Mereba	The Jungle Is The Only Way Out	INDIFFERENT	eMIjlzcaFHU	MPREb_llGzOo9itaS	UCou-FCzOHKo69QxqCQuWrdg	soul kings and queens radio
Spread the Love (feat. Marlene Winkler)	Melodiesinfonie	Friede Freude	INDIFFERENT	UMKNRa6xxF4	MPREb_hfRLvaE7NZa	UCmUU8eMgtsnSiP8stIq-maw	soul kings and queens radio
Peaceyea (feat. Djemeia)	Melodiesinfonie	Be Thankful	INDIFFERENT	-4wACu3Ucjc	MPREb_4aHvhD935al	UCmUU8eMgtsnSiP8stIq-maw	soul kings and queens radio
Grounded	Meghan Carr	Grounded	INDIFFERENT	nQfzMN3NflI	MPREb_iv0sr7HM8rP	UCC09E_hdJdjCoJfwfoaAJHA	soul kings and queens radio
Too much sun in LA	McClenney	On A Virgo Mind	INDIFFERENT	EaXDI5Jdo4c	MPREb_0so45H8hCTD	UCg2RC8re_hQnQnj2xU1ypZA	soul kings and queens radio
Ready When You Are	Mathilda Homer	Ready When You Are	INDIFFERENT	_ysc80H1K9M	MPREb_JlvNwhz66cQ	UC4Q-D99jm_yYpUNuJMJXbMw	soul kings and queens radio
Like Sand (feat. Beau Diako)	Marie Dahlstrom	Like Sand	INDIFFERENT	dVIeFDiIknQ	MPREb_syO3aWlRN0H	UCEx27Q5tW3JLmRzjDIWv7nw	soul kings and queens radio
Pewność	Marek Grechuta	Marek Grechuta - 40 piosenek	INDIFFERENT	lvDaz8-uLks	MPREb_dKBQdQLS9i9	UCpEZ-rtlYP_YI2zpOB32KpQ	soul kings and queens radio
No Pressure	Mahalia	No Pressure	INDIFFERENT	uNVxU3Fr2Kg	MPREb_x24dSxK7Qp8	UCwOfHTZPlyZ98A5EiPtV4rg	soul kings and queens radio
Bitch Don't Be Mad	Maeta	Habits	INDIFFERENT	PBZVm-5c7WU	MPREb_eypGmABAUQj	UCFzQv4ciVKm_0O536fihpaA	soul kings and queens radio
TRY - A COLORS SHOW	Madison McFerrin	TRY - A COLORS SHOW	INDIFFERENT	o3btC1Ij4ig	MPREb_bNMEJZJVZTA	UC-9nKF4PxMq8X6u6zTbBTWQ	soul kings and queens radio
Under	Mac Ayres	Something to Feel	INDIFFERENT	MJuRw5XEzAg	MPREb_Hpi7yOOQ54q	UCtg1qMdoDfEVAgd8mIe4F_Q	soul kings and queens radio
Show Me	Mac Ayres	Drive Slow	INDIFFERENT	eigoDOSVE-Q	MPREb_27sK9qhLHo6	UCtg1qMdoDfEVAgd8mIe4F_Q	soul kings and queens radio
Here If You Want (Pale Blue)	MOSSS	Pale Blue	INDIFFERENT	oqXdfgIxk5E	MPREb_i7lJ2cS4m79	UCvJyf1fLyjYPqW4IinhyIoQ	soul kings and queens radio
Soulmate (Heartstrings)	MMYYKK	Love In Synthesis	INDIFFERENT	BP99H_alNjo	MPREb_nrOiSQT7iJV	UCOxXu6cixlePXWUUmztDsKQ	soul kings and queens radio
