title	track_count	duration_hours	privacy	playlist_id
x_r.bassheavy_tracks_radio	0	27	PRIVATE	PLWptjpDqazOwGuWRQ-pxKEqq-gDV6ctC_
x_r.blues_tracks_radio	0	13	PRIVATE	PLWptjpDqazOzT59L2yVpPw0RwsPbX7T22
x_r.bluesrock_tracks_radio	0	45	PRIVATE	PLWptjpDqazOyr4sjHXG4jktyZD9EFQu0P
x_r.bossanova_tracks_radio	0	14	PRIVATE	PLWptjpDqazOyJQdzo8LbSfOJOBV4nbMNo
x_r.chicagohouse_tracks_radio	0	5	PRIVATE	PLWptjpDqazOzwOd5TBZvCFqkwH5hcuMbu
x_r.chillmusic_tracks_radio	0	8	PRIVATE	PLWptjpDqazOwSDNttFBRTKWEN9vXCudZQ
x_r.chillwave_tracks_radio	0	56	PRIVATE	PLWptjpDqazOxKfSf-LuzkrrSCU9c7r1PF
x_r.deepcuts_tracks_radio	0	13	PRIVATE	PLWptjpDqazOw_YVGGeZwPIn9RjPXaPXyv
x_r.bluegrass_tracks_radio	0	11	PRIVATE	PLWptjpDqazOzrksluRsO1FsiXCnDNdO8A
x_r.idm_tracks_radio	0	35	PRIVATE	PLWptjpDqazOx0Ssimhci93TOt8SWvirVj
x_r.indie_tracks_radio	0	59	PRIVATE	PLWptjpDqazOxqPtEFPftaSK2ttqrckK45
x_r.IndieFolk_tracks_radio	0	36	PRIVATE	PLWptjpDqazOyxDYgK__A6s3w6B0J7expk
x_r.SoundsVintage_tracks_radio	0	6	PRIVATE	PLWptjpDqazOx-MzTxobA2CAODycEkbZYv
x_r.SpaceMusic_tracks_radio	0	7	PRIVATE	PLWptjpDqazOxNPhF99JSB4okvvZK_4LXY
x_r.stonerrock_tracks_radio	0	34	PRIVATE	PLWptjpDqazOyCxwR6_Blk_Kb-fy_dFiVj
x_r.SurfPunk_tracks_radio	0	9	PRIVATE	PLWptjpDqazOy1FMaV2FFR3s_osszdkogX
x_r.synthrock_tracks_radio	0	11	PRIVATE	PLWptjpDqazOwqCCPwyCG-bN55Dgpf06uN
x_r.Techno_tracks_radio	0	39	PRIVATE	PLWptjpDqazOxGXkGeg09_iad3B2j4TFB_
x_r.theOverload_tracks_radio	0	74	PRIVATE	PLWptjpDqazOxa2yMzMDXpKtjfju5m0lJL
x_r.reggae_tracks_radio	0	76	PRIVATE	PLWptjpDqazOyYxdvXyzAD5z01_Kv7c7mx
x_r.trapmuzik_tracks_radio	0	62	PRIVATE	PLWptjpDqazOw5yquuU9pT5kguBmPIPSUn
x_r.triphop_tracks_radio	0	45	PRIVATE	PLWptjpDqazOwgySojQqOAOoQXDA01kcAT
x_r.TropicalHouse_tracks_radio	0	17	PRIVATE	PLWptjpDqazOz9VdEYSG46AlcGw3wAhY14
x_r.VintageObscura_tracks_radio	0	24	PRIVATE	PLWptjpDqazOzOx_ctjXGfr7UXfUworiKt
x_r.witch-house_tracks_radio	0	14	PRIVATE	PLWptjpDqazOxwZxf4Sd4lRAgAXnp-V6jM
x_r.witchHouse_tracks_radio	0	15	PRIVATE	PLWptjpDqazOyPmkvMWH5NOThhkZl0wa67
x_r.WorldMusic_tracks_radio	0	41	PRIVATE	PLWptjpDqazOwVnjxU1zOfwukuA3in6c_1
