title	artist	album	likeStatus	videoId	albumId	artistId	playlists
I'm On Fire	Waylon Jennings	Sweet Mother Texas	LIKE	7EHnFniZszU	MPREb_NpKOgSXhkv8	UCOayq7etITYmC6TlZReZSrw	Chill Supermix
I Can't Get Started	Warren Vache	Jazz For A Rainy Afternoon	LIKE	6mPx7eKdnpk	MPREb_sx5gfjvnzkH	UCub8TQbwUG7G7O2uY4XDpgw	Chill Supermix
Regulate (feat. Nate Dogg)	Warren G	Regulate… G Funk Era	LIKE	a02YJhCeTQk	MPREb_oVGsyTdbo50	UCdVRxxZs3-ZP7lNso5lO2RQ	Chill Supermix
Sweet Lorraine	Wardell Gray	The Very Best Of	LIKE	1cFjOw4uC3k	MPREb_s5xJGQt4PYB	UCtOYHPTGF8P29yEuDBA35qg	Chill Supermix
Why Should There Be Stars	Wallace Roney	Blue Dawn - Blue Nights	LIKE	9jiPvPs0WnQ	MPREb_0QnkMyw92Dd	UCEhpkDn3B4YJhXeJjUqY__A	Chill Supermix
Twins in Virgo + Twins In Virgo (Reprise)	Voices From The Lake	Voices from the Lake (2023 Edition)	LIKE	2gVCBXk-q7s	MPREb_AtJiqE0mS1S	UC9Cl5Us_4EB5QrFP7iSASXA	Chill Supermix
Insidieusement Les Elfes	Vincent Geminiani	Melodie En Soul Sol - Paris 70's	LIKE	0soMC4wWdZg	MPREb_gMeLX16zWjO	UCPM0A1Il8ZQ3e31Rb7qq_uA	Chill Supermix
The Living End	Vetiver	Up On High	LIKE	0RUMrZMVvao	MPREb_RKVwnl2AoB1	UC1kQTwcU5KBhPWFP6wEQH8Q	Chill Supermix
Sicily' Box (feat. Rocco Palladino)	Venna, Yussef Dayes, & Marco Bernardis	Sicily' Box	LIKE	w_a5mRbwr-o	MPREb_MWSSRy23dmE		Chill Supermix
Diamond Day	Vashti Bunyan	Just Another Diamond Day	LIKE	7-HDcMplduA	MPREb_TiMAL7sFDOs	UCAsYIm0d6ISVF_AUF_kfRig	Chill Supermix
telephone	Varlowe	telephone	LIKE	-clBwKW4VUE	MPREb_j72tigQB0nN	UC0YTKdT11yODXZLHdyAnEog	Chill Supermix
Tupelo Honey	Van Morrison	The Essential Van Morrison	LIKE	YWg4NzVoBec	MPREb_xHraz3TyHOe	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
Moondance	Van Morrison	Moondance	LIKE	7kfYOGndVfU	MPREb_bbfrRCKmRfQ	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
Into the Mystic	Van Morrison	Moondance	LIKE	pbZf8GY1-Ag	MPREb_bbfrRCKmRfQ	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
Crazy Love	Van Morrison	Moondance	LIKE	OIaKy1vM9hs	MPREb_bbfrRCKmRfQ	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
And It Stoned Me	Van Morrison	Moondance	LIKE	AYqJtqyeilE	MPREb_bbfrRCKmRfQ	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
Cyprus Avenue (1999 Remaster)	Van Morrison	Astral Weeks	LIKE	dlMjmXb69NI	MPREb_5kagWL5l7Fb	UCCiTDgyKWFNs6GXxMVR2ZbQ	Chill Supermix
Keaukaha	Unknown Mortal Orchestra	V	LIKE	ajzqz6RocQw	MPREb_tlev4kiSiVm	UCXMAKzy9duqBltrR8TrHmpQ	Chill Supermix
Wait for Love	Tweedy	Sukierae	LIKE	6ruhEUGmp-4	MPREb_Lo04w3JGR00	UCxNBBLsHxwvU16SLbvxliJg	Chill Supermix
Body And Soul	Tuck Andress	Reckless Precision	LIKE	-jqGrMA_XMA	MPREb_kYfesX8yS6V	UCO1SxGpSxHAtP0fcz8YHCvA	Chill Supermix
Story Book	Travis Bretzer	Waxing Romantic	LIKE	6Fg43LnlQbw	MPREb_IYS292P4xgp	UCNOlTg8QbiBZdmlYzTct6MA	Chill Supermix
