	title	artist	album	likeStatus	videoId	albumId	artistId
101	Strawberryfire	The Apples in stereo	#1 Hits Explosion	INDIFFERENT	ukuUs768rlg	MPREb_6y8atBedfyA	UCjOgeOSF6Y3xLtx4LmcQErA
115	Same Old Drag	The Apples in stereo	#1 Hits Explosion	INDIFFERENT	KVLs90pB6P0	MPREb_6y8atBedfyA	UCjOgeOSF6Y3xLtx4LmcQErA
3	The Rainbow	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	m7sgP2vsGAE	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
4	VIII. Together They Dream Into the Evening	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	e_u-oN1WCIE	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
8	20 Cases Suggestive Of...	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	8HlBcm-VFAw	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
10	Go	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	pe5XtrBbHcI	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
15	II. Morning Breaks (And Roosters Complain)	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	Z1NEFVtAYtg	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
16	Questions and Answers	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	MSTPj5AWmV8	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
21	III. The Significance of a Floral Print	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	EM0J-E1_G2o	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
23	I Can't Believe	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	kRkmPqd71u4	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
34	The Bird That You Can't See	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	j3QWOJYOxDc	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
35	Look Away	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	VMHXpH8-mu4	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
44	Baroque	The Apples in Stereo	Velocity of Sound	INDIFFERENT	rBWiw-R_7pk	MPREb_i3RtH7PG285	UCjOgeOSF6Y3xLtx4LmcQErA
49	The Afternoon	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	REIx1F2pY4g	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
51	Onto Something	The Apples in Stereo	Electronic Projects for Musicians	INDIFFERENT	r6bjcHvK0wA	MPREb_DlmvREIVSlq	UCjOgeOSF6Y3xLtx4LmcQErA
56	You Said That Last Night	The Apples in Stereo	Tone Soul Evolution	INDIFFERENT	_tFtwlT53NY	MPREb_nOggGJFt64K	UCjOgeOSF6Y3xLtx4LmcQErA
68	IV. From Outside, In Floats a Music Box	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	eAGD5aQHQjM	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
69	V. She Looks Through Empty Windows	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	3nN9GC0m52A	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
70	Drifting Patterns	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	U-Y_NQhuFXM	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
71	I. Her Room Is a Rainy Garden (Wallpaper Reverie Theme)	The Apples in Stereo	Her Wallpaper Reverie	INDIFFERENT	UIdSq_y0lJM	MPREb_ATbeM3Mh3Rj	UCjOgeOSF6Y3xLtx4LmcQErA
72	Allright/Not Quite	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	k7vvRrBSBMY	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
73	Stay Gold	The Apples in Stereo	The Discovery of a World Inside the Moone	INDIFFERENT	5jenV3LZwWQ	MPREb_fD8gkKeLsBr	UCjOgeOSF6Y3xLtx4LmcQErA
74	Tidal Wave	The Apples in Stereo	Science Faire	INDIFFERENT	jixigqda3x0	MPREb_BvavWeVhVX4	UCjOgeOSF6Y3xLtx4LmcQErA
85	Please	The Apples in Stereo	Velocity of Sound	INDIFFERENT	AQgcCPk8ZcI	MPREb_i3RtH7PG285	UCjOgeOSF6Y3xLtx4LmcQErA
93	What's The #?	The Apples in Stereo	Tone Soul Evolution	INDIFFERENT	oR6RkH36MOQ	MPREb_nOggGJFt64K	UCjOgeOSF6Y3xLtx4LmcQErA
